"Personen naar door de huisarts geregistreerde diagnose; inkomen";;;;
;;;Cijfersoort;Aantal
;;;Onderwerpen;Personen met 1 of meer zorgepisodes
;;;Onderwerpen;T. Endocriene kl./metabol. /voeding
;;;Onderwerpen;Ziekten
;;;Onderwerpen;Diabetes mellitus
Perioden;Inkomensgroepen;Geslacht;Leeftijd;per 1000 personen
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;33
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;81
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;130
2006;9e 10%-inkomensgroep;Mannen;Totaal leeftijd;28
2006;9e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;9e 10%-inkomensgroep;Mannen;15 tot 30 jaar;2
2006;9e 10%-inkomensgroep;Mannen;30 tot 45 jaar;7
2006;9e 10%-inkomensgroep;Mannen;45 tot 60 jaar;37
2006;9e 10%-inkomensgroep;Mannen;60 tot 75 jaar;86
2006;9e 10%-inkomensgroep;Mannen;75 jaar of ouder;122
2006;9e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;26
2006;9e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;9e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;3
2006;9e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;3
2006;9e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;28
2006;9e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;76
2006;9e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;137
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;Totaal leeftijd;22
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;0 tot 15 jaar;.
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;15 tot 30 jaar;.
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;30 tot 45 jaar;5
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;45 tot 60 jaar;24
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;60 tot 75 jaar;62
2006;10e 10%-inkomensgroep (hoog inkomen);Totaal mannen en vrouwen;75 jaar of ouder;119
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;Totaal leeftijd;27
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;0 tot 15 jaar;.
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;15 tot 30 jaar;.
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;30 tot 45 jaar;7
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;45 tot 60 jaar;31
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;60 tot 75 jaar;71
2006;10e 10%-inkomensgroep (hoog inkomen);Mannen;75 jaar of ouder;137
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;Totaal leeftijd;17
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;0 tot 15 jaar;.
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;15 tot 30 jaar;.
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;30 tot 45 jaar;3
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;45 tot 60 jaar;15
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;60 tot 75 jaar;50
2006;10e 10%-inkomensgroep (hoog inkomen);Vrouwen;75 jaar of ouder;101
2007;Totaal alle inkomens;Totaal mannen en vrouwen;Totaal leeftijd;40
2007;Totaal alle inkomens;Totaal mannen en vrouwen;0 tot 15 jaar;1
2007;Totaal alle inkomens;Totaal mannen en vrouwen;15 tot 30 jaar;2
2007;Totaal alle inkomens;Totaal mannen en vrouwen;30 tot 45 jaar;8
2007;Totaal alle inkomens;Totaal mannen en vrouwen;45 tot 60 jaar;43
2007;Totaal alle inkomens;Totaal mannen en vrouwen;60 tot 75 jaar;120
2007;Totaal alle inkomens;Totaal mannen en vrouwen;75 jaar of ouder;167
2007;Totaal alle inkomens;Mannen;Totaal leeftijd;40
2007;Totaal alle inkomens;Mannen;0 tot 15 jaar;1
2007;Totaal alle inkomens;Mannen;15 tot 30 jaar;2
2007;Totaal alle inkomens;Mannen;30 tot 45 jaar;9
2007;Totaal alle inkomens;Mannen;45 tot 60 jaar;47
2007;Totaal alle inkomens;Mannen;60 tot 75 jaar;126
2007;Totaal alle inkomens;Mannen;75 jaar of ouder;169
2007;Totaal alle inkomens;Vrouwen;Totaal leeftijd;41
2007;Totaal alle inkomens;Vrouwen;0 tot 15 jaar;1
2007;Totaal alle inkomens;Vrouwen;15 tot 30 jaar;3
2007;Totaal alle inkomens;Vrouwen;30 tot 45 jaar;7
2007;Totaal alle inkomens;Vrouwen;45 tot 60 jaar;39
2007;Totaal alle inkomens;Vrouwen;60 tot 75 jaar;115
2007;Totaal alle inkomens;Vrouwen;75 jaar of ouder;165
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;Totaal leeftijd;32
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;0 tot 15 jaar;1
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;15 tot 30 jaar;3
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;30 tot 45 jaar;13
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;45 tot 60 jaar;60
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;60 tot 75 jaar;138
2007;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;75 jaar of ouder;175
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;Totaal leeftijd;30
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;0 tot 15 jaar;.
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;15 tot 30 jaar;4
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;30 tot 45 jaar;13
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;45 tot 60 jaar;66
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;60 tot 75 jaar;133
2007;1e 10%-inkomensgroep (laag inkomen);Mannen;75 jaar of ouder;184
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;Totaal leeftijd;33
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;0 tot 15 jaar;.
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;15 tot 30 jaar;1
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;30 tot 45 jaar;12
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;45 tot 60 jaar;54
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;60 tot 75 jaar;141
2007;1e 10%-inkomensgroep (laag inkomen);Vrouwen;75 jaar of ouder;172
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;68
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;3
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;15
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;79
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;170
2007;2e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;188
2007;2e 10%-inkomensgroep;Mannen;Totaal leeftijd;60
2007;2e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2007;2e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2007;2e 10%-inkomensgroep;Mannen;30 tot 45 jaar;17
2007;2e 10%-inkomensgroep;Mannen;45 tot 60 jaar;73
2007;2e 10%-inkomensgroep;Mannen;60 tot 75 jaar;186
2007;2e 10%-inkomensgroep;Mannen;75 jaar of ouder;182
2007;2e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;75
2007;2e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2007;2e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;3
2007;2e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;14
2007;2e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;83
2007;2e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;159
2007;2e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;191
