Sector,Jaar,BrutoToegevoegdeWaardeBasisprijzen,BrutoToegevoegdeWaardeBasisprijzenIndex
23 Bouwmaterialenindustrie,2006,4114,103.7
23 Bouwmaterialenindustrie,2007,4452,112.3
23 Bouwmaterialenindustrie,2008,4734,115.1
23 Bouwmaterialenindustrie,2009,3910,131.3
23 Bouwmaterialenindustrie,2010,3668,128.7
23 Bouwmaterialenindustrie,2011,4005,125.6
24 Basismetaalindustrie,1988,2764,93.2
24 Basismetaalindustrie,1989,3243,105.2
24 Basismetaalindustrie,1990,3098,93.2
24 Basismetaalindustrie,1991,2966,87.4
24 Basismetaalindustrie,1992,2867,79.9
24 Basismetaalindustrie,1993,2699,80.1
24 Basismetaalindustrie,1994,2996,82.8
24 Basismetaalindustrie,1995,3387,92.9
24 Basismetaalindustrie,1996,3258,80.6
24 Basismetaalindustrie,1997,3759,80.5
24 Basismetaalindustrie,1998,3994,81.1
24 Basismetaalindustrie,1999,3826,70.8
24 Basismetaalindustrie,2000,4286,92.6
24 Basismetaalindustrie,2001,4284,74.6
24 Basismetaalindustrie,2002,4094,71.9
24 Basismetaalindustrie,2003,4017,77.8
24 Basismetaalindustrie,2004,4736,89.8
24 Basismetaalindustrie,2005,5043,100
24 Basismetaalindustrie,2006,5995,101.3
24 Basismetaalindustrie,2007,6605,98.7
24 Basismetaalindustrie,2008,6971,77.9
24 Basismetaalindustrie,2009,4827,62.6
24 Basismetaalindustrie,2010,6680,60.7
24 Basismetaalindustrie,2011,7209,62.6
25 Metaalproductenindustrie,1988,5057,81.8
25 Metaalproductenindustrie,1989,5636,83.3
25 Metaalproductenindustrie,1990,6173,86.6
25 Metaalproductenindustrie,1991,6360,89.5
25 Metaalproductenindustrie,1992,6246,91.5
25 Metaalproductenindustrie,1993,5795,91.9
25 Metaalproductenindustrie,1994,6204,87.9
25 Metaalproductenindustrie,1995,6684,88.4
25 Metaalproductenindustrie,1996,7072,90.1
25 Metaalproductenindustrie,1997,7651,92.9
25 Metaalproductenindustrie,1998,8289,95.6
25 Metaalproductenindustrie,1999,8358,100.9
25 Metaalproductenindustrie,2000,9101,96.4
25 Metaalproductenindustrie,2001,9094,98.3
25 Metaalproductenindustrie,2002,8973,97.8
25 Metaalproductenindustrie,2003,8768,98.4
25 Metaalproductenindustrie,2004,9398,97.6
25 Metaalproductenindustrie,2005,10117,100
25 Metaalproductenindustrie,2006,11061,100.7
25 Metaalproductenindustrie,2007,12724,104.4
25 Metaalproductenindustrie,2008,13691,109.7
25 Metaalproductenindustrie,2009,11346,113.3
25 Metaalproductenindustrie,2010,12417,102.5
25 Metaalproductenindustrie,2011,13583,101.8
26 Elektrotechnische industrie,1988,4821,121
26 Elektrotechnische industrie,1989,5400,120.7
26 Elektrotechnische industrie,1990,5374,122
26 Elektrotechnische industrie,1991,5716,122.1
26 Elektrotechnische industrie,1992,5873,119.9
26 Elektrotechnische industrie,1993,5835,117.1
26 Elektrotechnische industrie,1994,6037,113.4
26 Elektrotechnische industrie,1995,6700,111.2
26 Elektrotechnische industrie,1996,7293,109.5
26 Elektrotechnische industrie,1997,8595,111.9
26 Elektrotechnische industrie,1998,8752,111.3
26 Elektrotechnische industrie,1999,9368,107.6
26 Elektrotechnische industrie,2000,10394,101.9
26 Elektrotechnische industrie,2001,10379,104.4
26 Elektrotechnische industrie,2002,9447,100.9
26 Elektrotechnische industrie,2003,9472,103.1
26 Elektrotechnische industrie,2004,9760,97.9
26 Elektrotechnische industrie,2005,9998,100
26 Elektrotechnische industrie,2006,10371,89
26 Elektrotechnische industrie,2007,9966,88
26 Elektrotechnische industrie,2008,10341,85.5
26 Elektrotechnische industrie,2009,9473,90.6
26 Elektrotechnische industrie,2010,10288,89.9
26 Elektrotechnische industrie,2011,10796,90.9
27 Elektrische apparatenindustrie,1988,1383,105.8
27 Elektrische apparatenindustrie,1989,1532,105.2
27 Elektrische apparatenindustrie,1990,1654,110
27 Elektrische apparatenindustrie,1991,1741,114.2
27 Elektrische apparatenindustrie,1992,1768,114.5
27 Elektrische apparatenindustrie,1993,1729,116.1
27 Elektrische apparatenindustrie,1994,1877,115.1
27 Elektrische apparatenindustrie,1995,2088,109.8
27 Elektrische apparatenindustrie,1996,2270,107.6
27 Elektrische apparatenindustrie,1997,2498,109.5
27 Elektrische apparatenindustrie,1998,2503,111.8
27 Elektrische apparatenindustrie,1999,2601,112.5
27 Elektrische apparatenindustrie,2000,2717,108.9
27 Elektrische apparatenindustrie,2001,2785,109.2
27 Elektrische apparatenindustrie,2002,2411,106.1
27 Elektrische apparatenindustrie,2003,2323,106.6
27 Elektrische apparatenindustrie,2004,2442,103.8
27 Elektrische apparatenindustrie,2005,2499,100
27 Elektrische apparatenindustrie,2006,2967,99.5
27 Elektrische apparatenindustrie,2007,3397,99.8
27 Elektrische apparatenindustrie,2008,3483,102.5
27 Elektrische apparatenindustrie,2009,2892,100.6
27 Elektrische apparatenindustrie,2010,3075,86.9
27 Elektrische apparatenindustrie,2011,3328,81.1
28 Machine-industrie,1988,4637,86.7
28 Machine-industrie,1989,5165,88.2
28 Machine-industrie,1990,5685,90.2
28 Machine-industrie,1991,5941,84.9
28 Machine-industrie,1992,6013,85.7
28 Machine-industrie,1993,5807,86.3
28 Machine-industrie,1994,6195,86.2
28 Machine-industrie,1995,6837,84.3
28 Machine-industrie,1996,7558,84.8
28 Machine-industrie,1997,8314,86
28 Machine-industrie,1998,8847,88.8
28 Machine-industrie,1999,9115,91.5
28 Machine-industrie,2000,10130,89.3
28 Machine-industrie,2001,10457,91.2
28 Machine-industrie,2002,10226,96.4
28 Machine-industrie,2003,9641,100.5
28 Machine-industrie,2004,10484,97.3
28 Machine-industrie,2005,10833,100
28 Machine-industrie,2006,12016,103.2
28 Machine-industrie,2007,13113,104.7
28 Machine-industrie,2008,13031,107.2
28 Machine-industrie,2009,11086,113.6
28 Machine-industrie,2010,12757,113.2
28 Machine-industrie,2011,14336,112.8
29 Auto- en aanhangwagenindustrie,1988,3101,95
29 Auto- en aanhangwagenindustrie,1989,3560,99.9
29 Auto- en aanhangwagenindustrie,1990,3583,107.4
29 Auto- en aanhangwagenindustrie,1991,3474,104.2
29 Auto- en aanhangwagenindustrie,1992,3462,106.2
29 Auto- en aanhangwagenindustrie,1993,2670,104.9
29 Auto- en aanhangwagenindustrie,1994,3361,103.4
29 Auto- en aanhangwagenindustrie,1995,4011,98.3
29 Auto- en aanhangwagenindustrie,1996,4715,100.8
29 Auto- en aanhangwagenindustrie,1997,5305,107.3
29 Auto- en aanhangwagenindustrie,1998,6245,108.9
29 Auto- en aanhangwagenindustrie,1999,6627,110.2
29 Auto- en aanhangwagenindustrie,2000,6806,106.6
29 Auto- en aanhangwagenindustrie,2001,6698,97.6
29 Auto- en aanhangwagenindustrie,2002,6577,96.1
29 Auto- en aanhangwagenindustrie,2003,6570,98.3
29 Auto- en aanhangwagenindustrie,2004,6876,103.1
29 Auto- en aanhangwagenindustrie,2005,6733,100
29 Auto- en aanhangwagenindustrie,2006,7262,101.7
29 Auto- en aanhangwagenindustrie,2007,8556,99.9
29 Auto- en aanhangwagenindustrie,2008,8795,106.3
29 Auto- en aanhangwagenindustrie,2009,4305,100.7
29 Auto- en aanhangwagenindustrie,2010,6106,96.5
29 Auto- en aanhangwagenindustrie,2011,8168,93.3
30 Overige transportmiddelenindustrie,1988,1645,70.6
30 Overige transportmiddelenindustrie,1989,1929,77.9
30 Overige transportmiddelenindustrie,1990,2322,76.6
30 Overige transportmiddelenindustrie,1991,2493,83.3
30 Overige transportmiddelenindustrie,1992,2480,87.1
30 Overige transportmiddelenindustrie,1993,2234,95.7
30 Overige transportmiddelenindustrie,1994,2163,87.3
30 Overige transportmiddelenindustrie,1995,2267,88.6
30 Overige transportmiddelenindustrie,1996,2108,75.9
30 Overige transportmiddelenindustrie,1997,2147,79.1
30 Overige transportmiddelenindustrie,1998,2522,88
30 Overige transportmiddelenindustrie,1999,2450,90.4
30 Overige transportmiddelenindustrie,2000,2592,88.9
30 Overige transportmiddelenindustrie,2001,2759,85.8
30 Overige transportmiddelenindustrie,2002,2660,91.7
30 Overige transportmiddelenindustrie,2003,2495,95.8
30 Overige transportmiddelenindustrie,2004,2495,98.2
30 Overige transportmiddelenindustrie,2005,2543,100
30 Overige transportmiddelenindustrie,2006,2616,101
30 Overige transportmiddelenindustrie,2007,3306,101.6
30 Overige transportmiddelenindustrie,2008,3713,105
30 Overige transportmiddelenindustrie,2009,3587,101.6
30 Overige transportmiddelenindustrie,2010,3531,99.5
30 Overige transportmiddelenindustrie,2011,3568,101.1
31-32 Meubel- en overige industrie,1988,2481,72.8
31-32 Meubel- en overige industrie,1989,2633,73
31-32 Meubel- en overige industrie,1990,2922,73.4
31-32 Meubel- en overige industrie,1991,3116,76.8
31-32 Meubel- en overige industrie,1992,3124,80.9
31-32 Meubel- en overige industrie,1993,3078,84.8
31-32 Meubel- en overige industrie,1994,3175,85.6
31-32 Meubel- en overige industrie,1995,3364,89.5
31-32 Meubel- en overige industrie,1996,3556,90.9
31-32 Meubel- en overige industrie,1997,3754,91.7
31-32 Meubel- en overige industrie,1998,3999,93
31-32 Meubel- en overige industrie,1999,4232,93.1
31-32 Meubel- en overige industrie,2000,4476,93.5
31-32 Meubel- en overige industrie,2001,4511,95.3
31-32 Meubel- en overige industrie,2002,4329,97.5
31-32 Meubel- en overige industrie,2003,4188,100.1
31-32 Meubel- en overige industrie,2004,4261,99.2
31-32 Meubel- en overige industrie,2005,4428,100
31-32 Meubel- en overige industrie,2006,4535,102
31-32 Meubel- en overige industrie,2007,4826,101.1
31-32 Meubel- en overige industrie,2008,4996,102.2
31-32 Meubel- en overige industrie,2009,4348,108.7
