geslacht,generatie,leeftijd,participatie
vrouw,1916-1920,35,
vrouw,1921-1925,35,
vrouw,1926-1930,35,
vrouw,1931-1935,35,
vrouw,1936-1940,35,19.8
vrouw,1941-1945,35,22.8
vrouw,1946-1950,35,29.9
vrouw,1951-1955,35,40
vrouw,1956-1960,35,48
vrouw,1961-1965,35,59
vrouw,1966-1970,35,66.3
vrouw,1971-1975,35,74.5
vrouw,1976-1980,35,
vrouw,1981-1985,35,
vrouw,1986-1990,35,
man,1906-1910,35,
man,1911-1915,35,
man,1916-1920,35,
man,1921-1925,35,
man,1926-1930,35,
man,1931-1935,35,
man,1936-1940,35,95.8
man,1941-1945,35,95.3
man,1946-1950,35,89.3
man,1951-1955,35,90.1
man,1956-1960,35,90.5
man,1961-1965,35,92.2
man,1966-1970,35,91.4
man,1971-1975,35,92.6
man,1976-1980,35,
man,1981-1985,35,
man,1986-1990,35,
vrouw,1906-1910,36,
vrouw,1911-1915,36,
vrouw,1916-1920,36,
vrouw,1921-1925,36,
vrouw,1926-1930,36,
vrouw,1931-1935,36,20.5
vrouw,1936-1940,36,19.8
vrouw,1941-1945,36,26.7
vrouw,1946-1950,36,30.3
vrouw,1951-1955,36,40.9
vrouw,1956-1960,36,49.2
vrouw,1961-1965,36,60
vrouw,1966-1970,36,66.6
vrouw,1971-1975,36,75
vrouw,1976-1980,36,
vrouw,1981-1985,36,
vrouw,1986-1990,36,
man,1906-1910,36,
man,1911-1915,36,
man,1916-1920,36,
man,1921-1925,36,
man,1926-1930,36,
man,1931-1935,36,96.5
man,1936-1940,36,96.1
man,1941-1945,36,93.7
man,1946-1950,36,88.2
man,1951-1955,36,89.2
man,1956-1960,36,90
man,1961-1965,36,93.2
man,1966-1970,36,91.4
man,1971-1975,36,93
man,1976-1980,36,
man,1981-1985,36,
man,1986-1990,36,
vrouw,1906-1910,37,
vrouw,1911-1915,37,
vrouw,1916-1920,37,
vrouw,1921-1925,37,
vrouw,1926-1930,37,
vrouw,1931-1935,37,20.9
vrouw,1936-1940,37,20.4
vrouw,1941-1945,37,28.9
vrouw,1946-1950,37,32.7
vrouw,1951-1955,37,43.7
vrouw,1956-1960,37,51.1
vrouw,1961-1965,37,60.4
vrouw,1966-1970,37,68
vrouw,1971-1975,37,74.7
vrouw,1976-1980,37,
vrouw,1981-1985,37,
vrouw,1986-1990,37,
man,1906-1910,37,
man,1911-1915,37,
man,1916-1920,37,
man,1921-1925,37,
man,1926-1930,37,
man,1931-1935,37,96.3
man,1936-1940,37,94.9
man,1941-1945,37,93.6
man,1946-1950,37,88.9
man,1951-1955,37,90.3
man,1956-1960,37,90
man,1961-1965,37,92.1
man,1966-1970,37,91.5
man,1971-1975,37,92.7
man,1976-1980,37,
man,1981-1985,37,
man,1986-1990,37,
vrouw,1906-1910,38,
vrouw,1911-1915,38,
vrouw,1916-1920,38,
vrouw,1921-1925,38,
vrouw,1926-1930,38,
vrouw,1931-1935,38,21.4
vrouw,1936-1940,38,20.1
vrouw,1941-1945,38,30.1
vrouw,1946-1950,38,36.5
vrouw,1951-1955,38,45.7
vrouw,1956-1960,38,51.8
vrouw,1961-1965,38,62.2
vrouw,1966-1970,38,69.9
vrouw,1971-1975,38,74.3
vrouw,1976-1980,38,
vrouw,1981-1985,38,
vrouw,1986-1990,38,
man,1906-1910,38,
man,1911-1915,38,
man,1916-1920,38,
man,1921-1925,38,
man,1926-1930,38,
man,1931-1935,38,96.3
man,1936-1940,38,93.9
man,1941-1945,38,91.5
man,1946-1950,38,89.5
man,1951-1955,38,90.5
man,1956-1960,38,90.1
man,1961-1965,38,91.4
man,1966-1970,38,91.8
man,1971-1975,38,90.8
man,1976-1980,38,
man,1981-1985,38,
man,1986-1990,38,
vrouw,1906-1910,39,
vrouw,1911-1915,39,
vrouw,1916-1920,39,
vrouw,1921-1925,39,
vrouw,1926-1930,39,
vrouw,1931-1935,39,22.1
vrouw,1936-1940,39,22.7
vrouw,1941-1945,39,32.4
vrouw,1946-1950,39,37.1
vrouw,1951-1955,39,47.7
vrouw,1956-1960,39,53.6
vrouw,1961-1965,39,64.3
vrouw,1966-1970,39,71.1
vrouw,1971-1975,39,
vrouw,1976-1980,39,
vrouw,1981-1985,39,
vrouw,1986-1990,39,
man,1906-1910,39,
man,1911-1915,39,
man,1916-1920,39,
man,1921-1925,39,
man,1926-1930,39,
man,1931-1935,39,96.4
man,1936-1940,39,94.6
man,1941-1945,39,89
man,1946-1950,39,89.1
man,1951-1955,39,90.2
man,1956-1960,39,91.5
man,1961-1965,39,91.7
man,1966-1970,39,92.5
man,1971-1975,39,
man,1976-1980,39,
man,1981-1985,39,
man,1986-1990,39,
vrouw,1906-1910,40,
vrouw,1911-1915,40,
vrouw,1916-1920,40,
vrouw,1921-1925,40,
vrouw,1926-1930,40,
vrouw,1931-1935,40,21
vrouw,1936-1940,40,24.1
vrouw,1941-1945,40,31.8
vrouw,1946-1950,40,38.7
vrouw,1951-1955,40,48.3
vrouw,1956-1960,40,57
vrouw,1961-1965,40,64.4
vrouw,1966-1970,40,72.7
vrouw,1971-1975,40,
vrouw,1976-1980,40,
vrouw,1981-1985,40,
vrouw,1986-1990,40,
man,1906-1910,40,
man,1911-1915,40,
man,1916-1920,40,
man,1921-1925,40,
man,1926-1930,40,
man,1931-1935,40,95.6
man,1936-1940,40,93.8
man,1941-1945,40,89.8
man,1946-1950,40,89.6
man,1951-1955,40,90.4
man,1956-1960,40,90.3
man,1961-1965,40,91
man,1966-1970,40,92.2
man,1971-1975,40,
man,1976-1980,40,
man,1981-1985,40,
man,1986-1990,40,
vrouw,1906-1910,41,
vrouw,1911-1915,41,
vrouw,1916-1920,41,
vrouw,1921-1925,41,
vrouw,1926-1930,41,22
vrouw,1931-1935,41,20.8
vrouw,1936-1940,41,26.3
vrouw,1941-1945,41,33.1
vrouw,1946-1950,41,41.3
vrouw,1951-1955,41,48.7
vrouw,1956-1960,41,59.4
vrouw,1961-1965,41,65.5
vrouw,1966-1970,41,73.3
vrouw,1971-1975,41,
vrouw,1976-1980,41,
vrouw,1981-1985,41,
vrouw,1986-1990,41,
man,1906-1910,41,
man,1911-1915,41,
man,1916-1920,41,
man,1921-1925,41,
man,1926-1930,41,96
man,1931-1935,41,94.3
man,1936-1940,41,92.6
man,1941-1945,41,88.3
man,1946-1950,41,88.9
man,1951-1955,41,90
man,1956-1960,41,91.9
man,1961-1965,41,90.8
man,1966-1970,41,92
man,1971-1975,41,
man,1976-1980,41,
man,1981-1985,41,
man,1986-1990,41,
vrouw,1906-1910,42,
vrouw,1911-1915,42,
vrouw,1916-1920,42,
vrouw,1921-1925,42,
vrouw,1926-1930,42,21.5
vrouw,1931-1935,42,20.8
vrouw,1936-1940,42,28.8
vrouw,1941-1945,42,33.2
vrouw,1946-1950,42,42.1
vrouw,1951-1955,42,51.4
vrouw,1956-1960,42,62.4
vrouw,1961-1965,42,66.7
vrouw,1966-1970,42,73.8
vrouw,1971-1975,42,
vrouw,1976-1980,42,
vrouw,1981-1985,42,
vrouw,1986-1990,42,
man,1906-1910,42,
man,1911-1915,42,
man,1916-1920,42,
man,1921-1925,42,
man,1926-1930,42,95.7
man,1931-1935,42,94
man,1936-1940,42,90.7
man,1941-1945,42,89
man,1946-1950,42,88.8
man,1951-1955,42,89.8
man,1956-1960,42,91.7
man,1961-1965,42,89.9
man,1966-1970,42,90.6
man,1971-1975,42,
man,1976-1980,42,
man,1981-1985,42,
man,1986-1990,42,
vrouw,1906-1910,43,
vrouw,1911-1915,43,
vrouw,1916-1920,43,
vrouw,1921-1925,43,
vrouw,1926-1930,43,21.4
vrouw,1931-1935,43,19.6
vrouw,1936-1940,43,29.8
vrouw,1941-1945,43,38.2
vrouw,1946-1950,43,43.7
vrouw,1951-1955,43,52.5
vrouw,1956-1960,43,63.7
