Soort,Regio,Jaar,Overlast
Overlast vermogensdelicten -schaalscore,Drenthe (PO),2010,2
Overlast vermogensdelicten -schaalscore,Drenthe (PO),2011,2.1
Overlast vermogensdelicten -schaalscore,IJsselland (PO),2008,2
Overlast vermogensdelicten -schaalscore,IJsselland (PO),2009,2.1
Overlast vermogensdelicten -schaalscore,IJsselland (PO),2010,2.1
Overlast vermogensdelicten -schaalscore,IJsselland (PO),2011,2.1
Overlast vermogensdelicten -schaalscore,Twente (PO),2008,1.8
Overlast vermogensdelicten -schaalscore,Twente (PO),2009,2
Overlast vermogensdelicten -schaalscore,Twente (PO),2010,2.1
Overlast vermogensdelicten -schaalscore,Twente (PO),2011,1.9
Overlast vermogensdelicten -schaalscore,Noord- en Oost-Gelderland (PO),2008,2.1
Overlast vermogensdelicten -schaalscore,Noord- en Oost-Gelderland (PO),2009,2
Overlast vermogensdelicten -schaalscore,Noord- en Oost-Gelderland (PO),2010,2.2
Overlast vermogensdelicten -schaalscore,Noord- en Oost-Gelderland (PO),2011,2.1
Overlast vermogensdelicten -schaalscore,Gelderland-Midden (PO),2008,2.4
Overlast vermogensdelicten -schaalscore,Gelderland-Midden (PO),2009,2.5
Overlast vermogensdelicten -schaalscore,Gelderland-Midden (PO),2010,2.6
Overlast vermogensdelicten -schaalscore,Gelderland-Midden (PO),2011,2.7
Overlast vermogensdelicten -schaalscore,Gelderland-Zuid (PO),2008,2.6
Overlast vermogensdelicten -schaalscore,Gelderland-Zuid (PO),2009,2.7
Overlast vermogensdelicten -schaalscore,Gelderland-Zuid (PO),2010,2.7
Overlast vermogensdelicten -schaalscore,Gelderland-Zuid (PO),2011,2.7
Overlast vermogensdelicten -schaalscore,Utrecht (PO),2008,3.3
Overlast vermogensdelicten -schaalscore,Utrecht (PO),2009,3.1
Overlast vermogensdelicten -schaalscore,Utrecht (PO),2010,3.3
Overlast vermogensdelicten -schaalscore,Utrecht (PO),2011,3
Overlast vermogensdelicten -schaalscore,Noord-Holland-Noord (PO),2008,2.5
Overlast vermogensdelicten -schaalscore,Noord-Holland-Noord (PO),2009,2.5
Overlast vermogensdelicten -schaalscore,Noord-Holland-Noord (PO),2010,2.7
Overlast vermogensdelicten -schaalscore,Noord-Holland-Noord (PO),2011,2.6
Overlast vermogensdelicten -schaalscore,Zaanstreek-Waterland (PO),2008,2.5
Overlast vermogensdelicten -schaalscore,Zaanstreek-Waterland (PO),2009,2.7
Overlast vermogensdelicten -schaalscore,Zaanstreek-Waterland (PO),2010,2.6
Overlast vermogensdelicten -schaalscore,Zaanstreek-Waterland (PO),2011,2.6
Overlast vermogensdelicten -schaalscore,Kennemerland (PO),2008,2.5
Overlast vermogensdelicten -schaalscore,Kennemerland (PO),2009,2.6
Overlast vermogensdelicten -schaalscore,Kennemerland (PO),2010,3
Overlast vermogensdelicten -schaalscore,Kennemerland (PO),2011,2.7
Overlast vermogensdelicten -schaalscore,Amsterdam-Amstelland (PO),2008,4.2
Overlast vermogensdelicten -schaalscore,Amsterdam-Amstelland (PO),2009,3.9
Overlast vermogensdelicten -schaalscore,Amsterdam-Amstelland (PO),2010,4
Overlast vermogensdelicten -schaalscore,Amsterdam-Amstelland (PO),2011,4
Overlast vermogensdelicten -schaalscore,Gooi en Vechtstreek (PO),2008,3
Overlast vermogensdelicten -schaalscore,Gooi en Vechtstreek (PO),2009,3
Overlast vermogensdelicten -schaalscore,Gooi en Vechtstreek (PO),2010,3.2
Overlast vermogensdelicten -schaalscore,Gooi en Vechtstreek (PO),2011,3.1
Overlast vermogensdelicten -schaalscore,Haaglanden (PO),2008,3.6
Overlast vermogensdelicten -schaalscore,Haaglanden (PO),2009,3.5
Overlast vermogensdelicten -schaalscore,Haaglanden (PO),2010,3.6
Overlast vermogensdelicten -schaalscore,Haaglanden (PO),2011,3.8
Overlast vermogensdelicten -schaalscore,Hollands Midden (PO),2008,2.8
Overlast vermogensdelicten -schaalscore,Hollands Midden (PO),2009,2.8
Overlast vermogensdelicten -schaalscore,Hollands Midden (PO),2010,2.8
Overlast vermogensdelicten -schaalscore,Hollands Midden (PO),2011,2.7
Overlast vermogensdelicten -schaalscore,Rotterdam-Rijnmond (PO),2008,3.5
Overlast vermogensdelicten -schaalscore,Rotterdam-Rijnmond (PO),2009,3.5
Overlast vermogensdelicten -schaalscore,Rotterdam-Rijnmond (PO),2010,3.6
Overlast vermogensdelicten -schaalscore,Rotterdam-Rijnmond (PO),2011,3.5
Overlast vermogensdelicten -schaalscore,Zuid-Holland-Zuid (PO),2008,2.5
Overlast vermogensdelicten -schaalscore,Zuid-Holland-Zuid (PO),2009,2.7
Overlast vermogensdelicten -schaalscore,Zuid-Holland-Zuid (PO),2010,2.6
Overlast vermogensdelicten -schaalscore,Zuid-Holland-Zuid (PO),2011,2.5
Overlast vermogensdelicten -schaalscore,Zeeland (PO),2008,1.9
Overlast vermogensdelicten -schaalscore,Zeeland (PO),2009,1.9
Overlast vermogensdelicten -schaalscore,Zeeland (PO),2010,1.9
Overlast vermogensdelicten -schaalscore,Zeeland (PO),2011,1.9
Overlast vermogensdelicten -schaalscore,Midden- en West-Brabant (PO),2008,2.8
Overlast vermogensdelicten -schaalscore,Midden- en West-Brabant (PO),2009,2.7
Overlast vermogensdelicten -schaalscore,Midden- en West-Brabant (PO),2010,3
Overlast vermogensdelicten -schaalscore,Midden- en West-Brabant (PO),2011,2.9
Overlast vermogensdelicten -schaalscore,Brabant-Noord (PO),2008,2.6
Overlast vermogensdelicten -schaalscore,Brabant-Noord (PO),2009,2.5
Overlast vermogensdelicten -schaalscore,Brabant-Noord (PO),2010,2.7
Overlast vermogensdelicten -schaalscore,Brabant-Noord (PO),2011,2.6
Overlast vermogensdelicten -schaalscore,Brabant-Zuidoost (PO),2008,2.6
Overlast vermogensdelicten -schaalscore,Brabant-Zuidoost (PO),2009,2.9
Overlast vermogensdelicten -schaalscore,Brabant-Zuidoost (PO),2010,2.8
Overlast vermogensdelicten -schaalscore,Brabant-Zuidoost (PO),2011,2.7
Overlast vermogensdelicten -schaalscore,Limburg-Noord (PO),2008,2.7
Overlast vermogensdelicten -schaalscore,Limburg-Noord (PO),2009,2.5
Overlast vermogensdelicten -schaalscore,Limburg-Noord (PO),2010,2.6
Overlast vermogensdelicten -schaalscore,Limburg-Noord (PO),2011,2.5
Overlast vermogensdelicten -schaalscore,Limburg-Zuid (PO),2008,3.1
Overlast vermogensdelicten -schaalscore,Limburg-Zuid (PO),2009,3.1
Overlast vermogensdelicten -schaalscore,Limburg-Zuid (PO),2010,3
Overlast vermogensdelicten -schaalscore,Limburg-Zuid (PO),2011,2.9
Overlast vermogensdelicten -schaalscore,Flevoland (PO),2008,2.3
Overlast vermogensdelicten -schaalscore,Flevoland (PO),2009,2.4
Overlast vermogensdelicten -schaalscore,Flevoland (PO),2010,2.3
Overlast vermogensdelicten -schaalscore,Flevoland (PO),2011,2.4
