Jaar,Sector,Energieaanbod,Energieverbruik
2005,06 Winning van aardolie en aardgas,38.92,38.92
2005,Cokesfabrieken,13.61,13.61
2005,192 Aardolie-industrie,183.22,183.22
2005,35 Energiebedrijven,374.32,374.39
2005,Totaal energieafnemers,2705.06,2705.81
2005,Nijverheid (geen energiesector),1259.94,1260.69
2005,08 Delfstoffenwinning (geen olie en gas),14.82,14.82
2005,10-12 Voedings-  genotmiddelenindustrie,94.35,94.35
2005,13-15 Textiel-  kleding-  lederindustrie,5.19,5.19
2005,16 Houtindustrie,3.48,3.48
2005,17-18 Papier- en grafische industrie,42.23,42.23
2005,20-21 Chemie en farmaceutische industrie,835.99,836.75
2005,Basischemie zonder 2013-2015,63.9,63.9
2005,2013 Overige anorganische basischemie,48.16,48.91
2005,2014 Overige organische basischemie,609.15,609.15
2005,2015 Kunstmestindustrie,95,95
2005,Chemische en farmaceutische producten,19.78,19.78
2005,23 Bouwmaterialenindustrie,32.33,32.33
2005,24 Basismetaalindustrie,134.45,134.45
2005,IJzer- en staalindustrie,102.87,102.87
2005,Non-ferrometalenindustrie,31.58,31.58
2005,25-28 Metaalproducten/machine-industrie,42.41,42.41
2005,29-30 Transportmiddelenindustrie,5.01,5.01
2005,31-33 Overige industrie en reparatie,20.58,20.58
2005,F Bouwnijverheid,29.09,
2005,Vervoer,486.36,486.36
2005,Railverkeer,7.65,7.65
2005,Wegverkeer,465.02,465.02
2005,Scheepvaart,9.81,9.81
2005,Luchtvaart,3.88,3.88
2005,Particuliere huishoudens,424.61,424.61
2005,Landbouw  visserij en dienstverlening,534.15,534.15
2005,Landbouw,171.62,
2005,Visserij,,
2005,E Waterbedrijven en afvalbeheer,57.4,
2005,G-U Dienstverlening,305.14,
2006,Nederland totaal,3235.69,3235.59
2006,Energiesector,582.38,582.28
2006,06 Winning van aardolie en aardgas,34.69,34.69
2006,Cokesfabrieken,13.03,13.03
2006,192 Aardolie-industrie,186.69,186.69
2006,35 Energiebedrijven,347.96,347.86
2006,Totaal energieafnemers,2653.31,2653.31
2006,Nijverheid (geen energiesector),1185.54,1185.54
2006,08 Delfstoffenwinning (geen olie en gas),14.75,14.75
2006,10-12 Voedings-  genotmiddelenindustrie,91.47,91.47
2006,13-15 Textiel-  kleding-  lederindustrie,4.78,4.78
2006,16 Houtindustrie,3.25,3.25
2006,17-18 Papier- en grafische industrie,41.58,41.58
2006,20-21 Chemie en farmaceutische industrie,777.12,777.12
2006,Basischemie zonder 2013-2015,64.84,64.84
2006,2013 Overige anorganische basischemie,50.26,50.26
2006,2014 Overige organische basischemie,547.45,547.45
2006,2015 Kunstmestindustrie,94.12,94.12
2006,Chemische en farmaceutische producten,20.44,20.44
2006,23 Bouwmaterialenindustrie,32.2,32.2
2006,24 Basismetaalindustrie,124.41,124.41
2006,IJzer- en staalindustrie,95.57,95.57
2006,Non-ferrometalenindustrie,28.84,28.84
2006,25-28 Metaalproducten/machine-industrie,42.39,42.39
