Regio,Misdrijf,Jaar,Aantal misdrijven,Misdrijven per 1000 inwoners,Opgehelderde misdrijven,Perc. opgehelderd
Utrecht (PO),Gewelds- en seksuele misdrijven,2011*,6760,5.5,4290,63.5
Noord-Holland-Noord (PO),Totaal,2005,49710,78.4,10550,21.2
Noord-Holland-Noord (PO),Totaal,2006,48185,75.8,9820,20.4
Noord-Holland-Noord (PO),Totaal,2007,47850,75.3,9520,19.9
Noord-Holland-Noord (PO),Totaal,2008,45365,71.3,9240,20.4
Noord-Holland-Noord (PO),Totaal,2009,45380,71,10330,22.8
Noord-Holland-Noord (PO),Totaal,2010,43365,67.5,10630,24.5
Noord-Holland-Noord (PO),Totaal,2011*,42055,65.3,9815,23.3
Noord-Holland-Noord (PO),Vermogensmisdrijven,2005,27160,42.9,2890,10.6
Noord-Holland-Noord (PO),Vermogensmisdrijven,2006,25645,40.4,2555,10
Noord-Holland-Noord (PO),Vermogensmisdrijven,2007,25145,39.6,2385,9.5
Noord-Holland-Noord (PO),Vermogensmisdrijven,2008,24030,37.7,2460,10.2
Noord-Holland-Noord (PO),Vermogensmisdrijven,2009,25540,40,2845,11.1
Noord-Holland-Noord (PO),Vermogensmisdrijven,2010,24360,37.9,3060,12.6
Noord-Holland-Noord (PO),Vermogensmisdrijven,2011*,23915,37.1,2910,12.2
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2005,10670,16.8,1280,12
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2006,10850,17.1,1220,11.3
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2007,11055,17.4,1220,11
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2008,10030,15.8,1090,10.9
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2009,9175,14.4,1565,17
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2010,8195,12.8,1485,18.1
Noord-Holland-Noord (PO),Vernielingen/misdr.openb.orde,2011*,7790,12.1,1330,17.1
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2005,4970,7.8,2825,56.9
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2006,4960,7.8,2715,54.7
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2007,4790,7.5,2730,57
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2008,4365,6.9,2455,56.2
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2009,4270,6.7,2840,66.6
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2010,3985,6.2,2680,67.2
Noord-Holland-Noord (PO),Gewelds- en seksuele misdrijven,2011*,3930,6.1,2525,64.3
Zaanstreek-Waterland (PO),Totaal,2005,20985,67.1,5885,28.1
Zaanstreek-Waterland (PO),Totaal,2006,20495,65.3,5710,27.9
Zaanstreek-Waterland (PO),Totaal,2007,19785,62.8,4845,24.5
Zaanstreek-Waterland (PO),Totaal,2008,18735,59.1,4575,24.4
Zaanstreek-Waterland (PO),Totaal,2009,19775,62.1,5145,26
Zaanstreek-Waterland (PO),Totaal,2010,19420,60.7,5135,26.4
Zaanstreek-Waterland (PO),Totaal,2011*,19840,61.6,5405,27.3
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2005,10805,34.6,1655,15.3
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2006,10255,32.7,1550,15.1
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2007,9745,30.9,1500,15.4
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2008,9060,28.6,1325,14.6
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2009,10575,33.2,1530,14.5
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2010,10500,32.8,1565,14.9
Zaanstreek-Waterland (PO),Vermogensmisdrijven,2011*,10920,33.9,1735,15.9
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2005,4340,13.9,645,14.9
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2006,4490,14.3,620,13.8
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2007,4480,14.2,555,12.4
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2008,4200,13.3,510,12.2
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2009,3775,11.9,620,16.4
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2010,3480,10.9,660,18.9
Zaanstreek-Waterland (PO),Vernielingen/misdr.openb.orde,2011*,3425,10.6,630,18.5
