gender,age,year,prognosis
TOTAL,55-60,2023,1240379
Male,60-65,2023,578612
Female,60-65,2023,586118
TOTAL,60-65,2023,1164730
Male,65-70,2023,504709
Female,65-70,2023,520171
TOTAL,65-70,2023,1024880
Male,70-75,2023,451354
Female,70-75,2023,476194
TOTAL,70-75,2023,927549
Male,75-80,2023,366958
Female,75-80,2023,410700
TOTAL,75-80,2023,777658
Male,80-85,2023,208510
Female,80-85,2023,266231
TOTAL,80-85,2023,474741
Male,85-90,2023,106086
Female,85-90,2023,169169
TOTAL,85-90,2023,275255
Male,90-95,2023,38173
Female,90-95,2023,83910
TOTAL,90-95,2023,122082
Male,95+,2023,7576
Female,95+,2023,26379
TOTAL,95+,2023,33955
Male,TOTAL,2023,8609750
Female,TOTAL,2023,8780110
TOTAL,TOTAL,2023,17389860
Male,00-05,2024,482384
Female,00-05,2024,459723
TOTAL,00-05,2024,942107
Male,05-10,2024,469536
Female,05-10,2024,447909
TOTAL,05-10,2024,917445
Male,10-15,2024,469762
Female,10-15,2024,449042
TOTAL,10-15,2024,918805
Male,15-20,2024,487348
Female,15-20,2024,466190
TOTAL,15-20,2024,953538
Male,20-25,2024,549306
Female,20-25,2024,536553
TOTAL,20-25,2024,1085859
Male,25-30,2024,551110
Female,25-30,2024,541467
TOTAL,25-30,2024,1092577
Male,30-35,2024,559220
Female,30-35,2024,552923
TOTAL,30-35,2024,1112143
Male,35-40,2024,527835
Female,35-40,2024,525941
TOTAL,35-40,2024,1053775
Male,40-45,2024,504848
Female,40-45,2024,507863
TOTAL,40-45,2024,1012710
Male,45-50,2024,504539
Female,45-50,2024,508977
TOTAL,45-50,2024,1013516
Male,50-55,2024,600222
Female,50-55,2024,605731
TOTAL,50-55,2024,1205954
Male,55-60,2024,617121
Female,55-60,2024,616820
TOTAL,55-60,2024,1233942
Male,60-65,2024,587503
Female,60-65,2024,594376
TOTAL,60-65,2024,1181879
Male,65-70,2024,511980
Female,65-70,2024,527959
TOTAL,65-70,2024,1039939
Male,70-75,2024,448491
Female,70-75,2024,474005
TOTAL,70-75,2024,922497
Male,75-80,2024,385321
Female,75-80,2024,429842
TOTAL,75-80,2024,815163
Male,80-85,2024,218125
Female,80-85,2024,275018
TOTAL,80-85,2024,493143
Male,85-90,2024,111400
