Soort,Regio,Jaar,Overlast
Dronken mensen op straat,Midden- en West-Brabant (PO),2008,4.6
Dronken mensen op straat,Midden- en West-Brabant (PO),2009,5.8
Dronken mensen op straat,Midden- en West-Brabant (PO),2010,4.2
Dronken mensen op straat,Midden- en West-Brabant (PO),2011,6.3
Dronken mensen op straat,Brabant-Noord (PO),2008,3
Dronken mensen op straat,Brabant-Noord (PO),2009,4.9
Dronken mensen op straat,Brabant-Noord (PO),2010,4.7
Dronken mensen op straat,Brabant-Noord (PO),2011,4.9
Dronken mensen op straat,Brabant-Zuidoost (PO),2008,6.3
Dronken mensen op straat,Brabant-Zuidoost (PO),2009,6.2
Dronken mensen op straat,Brabant-Zuidoost (PO),2010,5.7
Dronken mensen op straat,Brabant-Zuidoost (PO),2011,6.8
Dronken mensen op straat,Limburg-Noord (PO),2008,4.7
Dronken mensen op straat,Limburg-Noord (PO),2009,5.6
Dronken mensen op straat,Limburg-Noord (PO),2010,6.2
Dronken mensen op straat,Limburg-Noord (PO),2011,5.9
Dronken mensen op straat,Limburg-Zuid (PO),2008,7.1
Dronken mensen op straat,Limburg-Zuid (PO),2009,7.7
Dronken mensen op straat,Limburg-Zuid (PO),2010,6.5
Dronken mensen op straat,Limburg-Zuid (PO),2011,6.5
Dronken mensen op straat,Flevoland (PO),2008,2.8
Dronken mensen op straat,Flevoland (PO),2009,6.7
Dronken mensen op straat,Flevoland (PO),2010,5.1
Dronken mensen op straat,Flevoland (PO),2011,5.3
Bedreiging,Nederland,2008,2.1
Bedreiging,Nederland,2009,2.2
Bedreiging,Nederland,2010,2.4
Bedreiging,Nederland,2011,2.2
Bedreiging,Groningen (PO),2008,1.1
Bedreiging,Groningen (PO),2009,2.4
Bedreiging,Groningen (PO),2010,2.4
Bedreiging,Groningen (PO),2011,2.3
Bedreiging,Friesland (PO),2008,1.7
Bedreiging,Friesland (PO),2009,1.2
Bedreiging,Friesland (PO),2010,1.1
Bedreiging,Friesland (PO),2011,1.2
Bedreiging,Drenthe (PO),2008,1.2
Bedreiging,Drenthe (PO),2009,1.6
Bedreiging,Drenthe (PO),2010,1.7
Bedreiging,Drenthe (PO),2011,0.8
Bedreiging,IJsselland (PO),2008,2.2
Bedreiging,IJsselland (PO),2009,1.2
Bedreiging,IJsselland (PO),2010,1.3
Bedreiging,IJsselland (PO),2011,1
Bedreiging,Twente (PO),2008,1.3
Bedreiging,Twente (PO),2009,1.6
Bedreiging,Twente (PO),2010,0.8
Bedreiging,Twente (PO),2011,1.3
Bedreiging,Noord- en Oost-Gelderland (PO),2008,0.8
Bedreiging,Noord- en Oost-Gelderland (PO),2009,1.1
Bedreiging,Noord- en Oost-Gelderland (PO),2010,0.6
Bedreiging,Noord- en Oost-Gelderland (PO),2011,0.6
Bedreiging,Gelderland-Midden (PO),2008,2.3
Bedreiging,Gelderland-Midden (PO),2009,1.8
Bedreiging,Gelderland-Midden (PO),2010,1.6
Bedreiging,Gelderland-Midden (PO),2011,2.1
Bedreiging,Gelderland-Zuid (PO),2008,1.4
Bedreiging,Gelderland-Zuid (PO),2009,1.5
Bedreiging,Gelderland-Zuid (PO),2010,2.7
Bedreiging,Gelderland-Zuid (PO),2011,1.7
Bedreiging,Utrecht (PO),2008,2.1
