"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"36 Waterleidingbedrijven";"1997";"1416";"520";"896";"1043";"-0.2";"-0.8";"0.1";"86.0";"86.4";"85.9"
"36 Waterleidingbedrijven";"1998";"1476";"596";"880";"979";"0.3";"11.3";"-6.1";"89.4";"89.0";"89.9"
"36 Waterleidingbedrijven";"1999";"1571";"617";"954";"1007";"2.6";"2.2";"2.8";"92.8";"90.1";"94.7"
"36 Waterleidingbedrijven";"2000";"1615";"638";"977";"1003";"0.6";"2.3";"-0.4";"94.8";"91.1";"97.4"
"36 Waterleidingbedrijven";"2001";"1688";"670";"1018";"1014";"1.6";"2.4";"1.1";"97.5";"93.5";"100.4"
"36 Waterleidingbedrijven";"2002";"1681";"665";"1016";"1006";"-1.1";"-1.6";"-0.8";"98.2";"94.4";"101.0"
"36 Waterleidingbedrijven";"2003";"1692";"687";"1005";"1005";"0.6";"1.7";"-0.1";"98.3";"95.9";"100.0"
"36 Waterleidingbedrijven";"2004";"1674";"682";"992";"992";"-1.6";"-2.0";"-1.3";"98.8";"97.2";"100.0"
"36 Waterleidingbedrijven";"2005";"1684";"707";"977";"977";"-0.6";"0.7";"-1.5";"100.0";"100.0";"100.0"
"36 Waterleidingbedrijven";"2006";"1629";"716";"913";"925";"-3.8";"-1.7";"-5.3";"100.6";"103.0";"98.7"
"36 Waterleidingbedrijven";"2007";"1604";"726";"878";"912";"-0.8";"0.0";"-1.4";"99.8";"104.5";"96.3"
"36 Waterleidingbedrijven";"2008";"1606";"768";"838";"904";"0.4";"2.1";"-0.9";"99.5";"108.3";"92.7"
"36 Waterleidingbedrijven";"2009";"1617";"769";"848";"902";"-0.3";"-0.5";"-0.1";"100.5";"109.0";"94.0"
"36 Waterleidingbedrijven";"2010**";"1668";"803";"865";"939";"3.8";"3.6";"4.0";"99.8";"109.8";"92.2"
"36 Waterleidingbedrijven";"2011*";"1674";"817";"857";"933";"-0.2";"0.2";"-0.6";"100.4";"111.4";"91.8"
"37-39 Afvalbeheer";"1988";"2272";"1238";"1034";"1591";".";".";".";"65.7";"66.2";"65.0"
"37-39 Afvalbeheer";"1989";"2402";"1309";"1093";"1659";"4.5";"4.8";"4.3";"66.4";"66.8";"65.9"
"37-39 Afvalbeheer";"1990";"2553";"1511";"1042";"1592";"4.8";"12.1";"-4.0";"67.3";"68.7";"65.4"
"37-39 Afvalbeheer";"1991";"2899";"1754";"1145";"1699";"10.8";"13.6";"6.7";"69.0";"70.2";"67.4"
"37-39 Afvalbeheer";"1992";"3079";"1843";"1236";"1775";"4.1";"3.8";"4.5";"70.5";"71.1";"69.6"
"37-39 Afvalbeheer";"1993";"3368";"2021";"1347";"1809";"5.8";"8.4";"1.9";"72.9";"71.9";"74.4"
"37-39 Afvalbeheer";"1994";"3748";"2289";"1459";"1890";"7.0";"8.8";"4.5";"75.8";"74.9";"77.2"
"37-39 Afvalbeheer";"1995";"4147";"2569";"1578";"2019";"8.4";"9.3";"6.9";"77.3";"76.9";"78.1"
"37-39 Afvalbeheer";"1996";"4480";"2792";"1688";"2109";"6.7";"8.1";"4.4";"78.3";"77.3";"80.0"
"37-39 Afvalbeheer";"1997";"5048";"3136";"1912";"2330";"10.3";"10.2";"10.5";"80.0";"78.8";"82.1"
"37-39 Afvalbeheer";"1998";"5602";"3571";"2031";"2375";"8.4";"12.3";"1.9";"81.9";"79.9";"85.5"
"37-39 Afvalbeheer";"1999";"6284";"3952";"2332";"2689";"9.9";"8.0";"13.2";"83.6";"81.9";"86.7"
"37-39 Afvalbeheer";"2000";"6883";"4354";"2529";"2848";"5.2";"4.7";"5.9";"87.1";"86.2";"88.8"
"37-39 Afvalbeheer";"2001";"7274";"4644";"2630";"2825";"1.0";"2.0";"-0.8";"91.1";"90.1";"93.1"
"37-39 Afvalbeheer";"2002";"7856";"5035";"2821";"3002";"5.7";"5.4";"6.3";"93.1";"92.6";"94.0"
"37-39 Afvalbeheer";"2003";"8434";"5349";"3085";"3097";"2.8";"2.7";"3.2";"97.2";"95.8";"99.6"
"37-39 Afvalbeheer";"2004";"8654";"5569";"3085";"3013";"-0.1";"1.4";"-2.7";"99.8";"98.4";"102.4"
"37-39 Afvalbeheer";"2005";"8413";"5447";"2966";"2966";"-3.0";"-3.8";"-1.6";"100.0";"100.0";"100.0"
"37-39 Afvalbeheer";"2006";"8895";"5709";"3186";"3094";"2.7";"1.8";"4.3";"103.0";"103.0";"103.0"
"37-39 Afvalbeheer";"2007";"9338";"6005";"3333";"3149";"1.9";"2.0";"1.8";"106.1";"106.2";"105.8"
"37-39 Afvalbeheer";"2008";"10204";"6682";"3522";"3266";"5.1";"5.8";"3.7";"110.3";"111.7";"107.9"
"37-39 Afvalbeheer";"2009";"10234";"6718";"3516";"3305";"0.8";"0.5";"1.2";"109.8";"111.7";"106.4"
"37-39 Afvalbeheer";"2010**";"10641";"7014";"3627";"3350";"1.0";"0.8";"1.4";"113.0";"115.6";"108.3"
"37-39 Afvalbeheer";"2011*";"11246";"7508";"3738";"3427";"3.5";"4.1";"2.3";"115.4";"118.9";"109.1"
"41 Algemene bouw en projectontwikkeling";"1988";"16311";"11796";"4515";"9878";".";".";".";"58.8";"64.5";"45.7"
"41 Algemene bouw en projectontwikkeling";"1989";"17442";"12456";"4986";"10813";"4.3";"2.3";"9.5";"60.3";"66.6";"46.1"
"41 Algemene bouw en projectontwikkeling";"1990";"17905";"13001";"4904";"10383";"0.0";"1.6";"-4.0";"61.9";"68.4";"47.2"
"41 Algemene bouw en projectontwikkeling";"1991";"18461";"13496";"4965";"10248";"0.6";"1.4";"-1.3";"63.4";"70.0";"48.5"
"41 Algemene bouw en projectontwikkeling";"1992";"18659";"13470";"5189";"9975";"-2.6";"-2.6";"-2.7";"65.8";"71.7";"52.0"
"41 Algemene bouw en projectontwikkeling";"1993";"18230";"13134";"5096";"9331";"-5.4";"-4.9";"-6.5";"67.9";"73.6";"54.6"
"41 Algemene bouw en projectontwikkeling";"1994";"19210";"13861";"5349";"9608";"3.5";"3.7";"3.0";"69.1";"74.9";"55.7"
"41 Algemene bouw en projectontwikkeling";"1995";"19858";"14462";"5396";"9378";"0.8";"2.0";"-2.4";"70.9";"76.6";"57.5"
"41 Algemene bouw en projectontwikkeling";"1996";"20596";"15195";"5401";"8832";"0.7";"3.1";"-5.8";"73.1";"78.0";"61.2"
"41 Algemene bouw en projectontwikkeling";"1997";"21456";"15886";"5570";"8803";"2.1";"2.9";"-0.3";"74.6";"79.3";"63.3"
"41 Algemene bouw en projectontwikkeling";"1998";"22346";"16569";"5777";"8814";"1.6";"2.1";"0.1";"76.5";"81.0";"65.5"
"41 Algemene bouw en projectontwikkeling";"1999";"24455";"18084";"6371";"9264";"5.9";"6.2";"5.1";"79.0";"83.3";"68.8"
"41 Algemene bouw en projectontwikkeling";"2000";"26854";"19883";"6971";"9485";"4.5";"5.2";"2.4";"83.1";"87.1";"73.5"
"41 Algemene bouw en projectontwikkeling";"2001";"28163";"20972";"7191";"9109";"-0.2";"1.1";"-4.0";"87.3";"90.8";"78.9"
"41 Algemene bouw en projectontwikkeling";"2002";"28262";"20449";"7813";"9104";"-4.7";"-6.3";"-0.1";"91.9";"94.5";"85.8"
"41 Algemene bouw en projectontwikkeling";"2003";"28198";"20180";"8018";"8704";"-3.7";"-3.5";"-4.4";"95.3";"96.6";"92.1"
"41 Algemene bouw en projectontwikkeling";"2004";"28999";"20511";"8488";"8761";"0.2";"0.0";"0.6";"97.8";"98.2";"96.9"
"41 Algemene bouw en projectontwikkeling";"2005";"30116";"21225";"8891";"8891";"1.6";"1.6";"1.5";"100.0";"100.0";"100.0"
"41 Algemene bouw en projectontwikkeling";"2006";"32414";"22780";"9634";"9200";"4.1";"4.4";"3.5";"103.4";"102.8";"104.7"
"41 Algemene bouw en projectontwikkeling";"2007";"35685";"25378";"10307";"9785";"7.7";"8.2";"6.4";"105.7";"105.8";"105.3"
"41 Algemene bouw en projectontwikkeling";"2008";"38145";"27380";"10765";"10006";"3.6";"4.2";"2.3";"109.0";"109.6";"107.6"
"41 Algemene bouw en projectontwikkeling";"2009";"36049";"25509";"10540";"9248";"-8.4";"-8.8";"-7.6";"112.5";"111.9";"114.0"
"41 Algemene bouw en projectontwikkeling";"2010**";"31153";"21839";"9314";"8015";"-14.9";"-15.6";"-13.3";"114.3";"113.5";"116.2"
"41 Algemene bouw en projectontwikkeling";"2011*";"32118";"22759";"9359";"8324";"3.6";"3.4";"3.9";"113.8";"114.3";"112.4"
"42 Grond-, water-  en wegenbouw";"1988";"4468";"2862";"1606";"2642";".";".";".";"65.2";"67.6";"60.8"
"42 Grond-, water-  en wegenbouw";"1989";"4820";"3220";"1600";"2619";"4.8";"7.9";"-0.9";"67.2";"70.5";"61.1"
"42 Grond-, water-  en wegenbouw";"1990";"5264";"3554";"1710";"2629";"4.9";"7.1";"0.4";"70.0";"72.7";"65.0"
"42 Grond-, water-  en wegenbouw";"1991";"5463";"3666";"1797";"2621";"0.2";"0.5";"-0.3";"72.4";"74.6";"68.5"
"42 Grond-, water-  en wegenbouw";"1992";"5529";"3664";"1865";"2579";"-1.7";"-1.8";"-1.6";"74.6";"75.9";"72.3"
"42 Grond-, water-  en wegenbouw";"1993";"5954";"3795";"2159";"2875";"4.6";"1.1";"11.5";"76.8";"77.8";"75.1"
"42 Grond-, water-  en wegenbouw";"1994";"6409";"4076";"2333";"3035";"5.9";"6.1";"5.6";"78.1";"78.8";"76.9"
"42 Grond-, water-  en wegenbouw";"1995";"6560";"4282";"2278";"2905";"0.4";"3.1";"-4.3";"79.6";"80.3";"78.4"
"42 Grond-, water-  en wegenbouw";"1996";"7277";"4850";"2427";"3067";"9.5";"11.7";"5.6";"80.6";"81.4";"79.1"
"42 Grond-, water-  en wegenbouw";"1997";"7672";"5074";"2598";"3205";"3.7";"3.4";"4.5";"81.9";"82.4";"81.1"
"42 Grond-, water-  en wegenbouw";"1998";"7999";"5348";"2651";"3186";"2.0";"3.3";"-0.6";"83.8";"84.1";"83.2"
"42 Grond-, water-  en wegenbouw";"1999";"9053";"6091";"2962";"3492";"10.7";"11.3";"9.6";"85.6";"86.1";"84.8"
"42 Grond-, water-  en wegenbouw";"2000";"9845";"6648";"3197";"3571";"4.1";"5.0";"2.3";"89.5";"89.5";"89.5"
"42 Grond-, water-  en wegenbouw";"2001";"10844";"7278";"3566";"3794";"5.7";"5.4";"6.2";"93.2";"93.0";"94.0"
"42 Grond-, water-  en wegenbouw";"2002";"10700";"7207";"3493";"3517";"-5.0";"-3.9";"-7.3";"96.8";"95.8";"99.3"
"42 Grond-, water-  en wegenbouw";"2003";"10132";"6884";"3248";"3201";"-6.9";"-5.9";"-9.0";"98.5";"97.2";"101.5"
"42 Grond-, water-  en wegenbouw";"2004";"9781";"6774";"3007";"2976";"-4.3";"-2.9";"-7.0";"99.3";"98.5";"101.0"
"42 Grond-, water-  en wegenbouw";"2005";"10426";"7227";"3199";"3199";"5.8";"5.1";"7.5";"100.0";"100.0";"100.0"
"42 Grond-, water-  en wegenbouw";"2006";"11276";"7855";"3421";"3304";"5.1";"5.9";"3.3";"102.9";"102.6";"103.5"
"42 Grond-, water-  en wegenbouw";"2007";"11676";"8187";"3489";"3214";"-0.3";"0.7";"-2.7";"106.9";"106.2";"108.6"
"42 Grond-, water-  en wegenbouw";"2008";"12612";"8840";"3772";"3282";"2.7";"3.0";"2.1";"112.4";"111.4";"114.9"
"42 Grond-, water-  en wegenbouw";"2009";"13162";"9244";"3918";"3489";"5.5";"5.2";"6.3";"111.2";"110.7";"112.3"
"42 Grond-, water-  en wegenbouw";"2010**";"12365";"8585";"3780";"3131";"-9.6";"-9.3";"-10.3";"115.5";"113.4";"120.7"
"42 Grond-, water-  en wegenbouw";"2011*";"12978";"9059";"3919";"3177";"1.7";"1.8";"1.5";"119.2";"117.5";"123.4"
"43 Gespecialiseerde bouw";"1988";"13117";"7055";"6062";"11742";".";".";".";"63.5";"75.2";"51.6"
"43 Gespecialiseerde bouw";"1989";"13850";"7611";"6239";"11715";"2.8";"5.3";"-0.2";"65.3";"77.0";"53.3"
"43 Gespecialiseerde bouw";"1990";"14501";"7969";"6532";"11724";"2.2";"4.0";"0.1";"66.9";"77.5";"55.7"
"43 Gespecialiseerde bouw";"1991";"15183";"8410";"6773";"11776";"2.3";"3.7";"0.4";"68.5";"78.9";"57.5"
"43 Gespecialiseerde bouw";"1992";"16094";"8907";"7187";"11867";"3.0";"4.9";"0.8";"70.4";"79.6";"60.6"
"43 Gespecialiseerde bouw";"1993";"15963";"8705";"7258";"11517";"-3.1";"-3.3";"-2.9";"72.1";"80.5";"63.0"
"43 Gespecialiseerde bouw";"1994";"16220";"8943";"7277";"11329";"-0.3";"0.9";"-1.6";"73.5";"81.9";"64.2"
"43 Gespecialiseerde bouw";"1995";"17063";"9520";"7543";"11418";"2.9";"4.6";"0.8";"75.1";"83.4";"66.1"
"43 Gespecialiseerde bouw";"1996";"18248";"10428";"7820";"11391";"4.5";"8.2";"-0.2";"76.9";"84.4";"68.7"
"43 Gespecialiseerde bouw";"1997";"19074";"10795";"8279";"11704";"2.6";"2.6";"2.7";"78.3";"85.1";"70.7"
"43 Gespecialiseerde bouw";"1998";"20910";"11785";"9125";"12489";"7.2";"7.6";"6.7";"80.1";"86.4";"73.1"
"43 Gespecialiseerde bouw";"1999";"22675";"12629";"10046";"13114";"5.3";"5.5";"5.0";"82.5";"87.8";"76.6"
"43 Gespecialiseerde bouw";"2000";"24899";"13786";"11113";"13724";"5.1";"5.5";"4.6";"86.2";"90.9";"81.0"
"43 Gespecialiseerde bouw";"2001";"27012";"14680";"12332";"14305";"3.6";"3.1";"4.2";"90.2";"93.9";"86.2"
"43 Gespecialiseerde bouw";"2002";"27425";"14572";"12853";"13774";"-3.2";"-2.8";"-3.7";"94.7";"95.9";"93.3"
"43 Gespecialiseerde bouw";"2003";"27155";"14252";"12903";"13205";"-3.3";"-2.6";"-4.1";"96.9";"96.3";"97.7"
"43 Gespecialiseerde bouw";"2004";"26865";"14238";"12627";"12756";"-2.6";"-1.9";"-3.4";"98.5";"98.0";"99.0"
"43 Gespecialiseerde bouw";"2005";"28178";"15004";"13174";"13174";"3.3";"3.3";"3.3";"100.0";"100.0";"100.0"
"43 Gespecialiseerde bouw";"2006";"30029";"16154";"13875";"13356";"3.3";"5.0";"1.4";"103.2";"102.6";"103.9"
"43 Gespecialiseerde bouw";"2007";"33093";"17975";"15118";"14300";"7.7";"8.3";"7.1";"105.5";"105.4";"105.7"
"43 Gespecialiseerde bouw";"2008";"35930";"19511";"16419";"14888";"4.9";"5.6";"4.1";"109.2";"108.3";"110.3"
"43 Gespecialiseerde bouw";"2009";"34502";"18282";"16220";"13876";"-6.7";"-6.6";"-6.8";"112.4";"108.6";"116.9"
"43 Gespecialiseerde bouw";"2010**";"32178";"17287";"14891";"12515";"-8.7";"-7.6";"-9.8";"114.7";"111.2";"119.0"
"43 Gespecialiseerde bouw";"2011*";"33875";"18426";"15449";"13222";"5.1";"4.6";"5.6";"115.0";"113.3";"116.8"
"45 Autohandel en -reparatie";"1988";"6126";"2971";"3155";"4561";".";".";".";"71.6";"74.2";"69.2"
"45 Autohandel en -reparatie";"1989";"6450";"3161";"3289";"4717";"3.8";"4.1";"3.4";"72.7";"75.9";"69.7"
"45 Autohandel en -reparatie";"1990";"6957";"3380";"3577";"4948";"5.5";"6.1";"4.9";"74.3";"76.5";"72.3"
"45 Autohandel en -reparatie";"1991";"7456";"3671";"3785";"5152";"5.1";"6.2";"4.1";"75.8";"78.2";"73.5"
"45 Autohandel en -reparatie";"1992";"7885";"3898";"3987";"5251";"2.9";"4.0";"1.9";"77.8";"79.8";"75.9"
"45 Autohandel en -reparatie";"1993";"7880";"3873";"4007";"4923";"-3.3";"-0.4";"-6.2";"80.5";"79.6";"81.4"
"45 Autohandel en -reparatie";"1994";"8289";"4084";"4205";"5032";"3.1";"4.1";"2.2";"82.1";"80.7";"83.6"
"45 Autohandel en -reparatie";"1995";"8347";"4239";"4108";"4947";"0.1";"2.0";"-1.7";"82.6";"82.1";"83.0"
"45 Autohandel en -reparatie";"1996";"9252";"4900";"4352";"5497";"11.8";"12.5";"11.1";"81.9";"84.4";"79.2"
"45 Autohandel en -reparatie";"1997";"9908";"5416";"4492";"5793";"7.6";"9.5";"5.4";"81.5";"85.1";"77.5"
"45 Autohandel en -reparatie";"1998";"10993";"5843";"5150";"6526";"9.7";"7.3";"12.6";"82.4";"85.6";"78.9"
"45 Autohandel en -reparatie";"1999";"12228";"6474";"5754";"7039";"8.4";"8.8";"7.9";"84.6";"87.2";"81.7"
"45 Autohandel en -reparatie";"2000";"12900";"6851";"6049";"7125";"2.0";"2.7";"1.2";"87.5";"89.8";"84.9"
"45 Autohandel en -reparatie";"2001";"13789";"7275";"6514";"7234";"2.3";"2.9";"1.5";"91.4";"92.7";"90.0"
"45 Autohandel en -reparatie";"2002";"14331";"7359";"6972";"7240";"-0.7";"-1.5";"0.1";"95.7";"95.2";"96.3"
"45 Autohandel en -reparatie";"2003";"13667";"6822";"6845";"6986";"-6.1";"-8.6";"-3.5";"97.3";"96.5";"98.0"
"45 Autohandel en -reparatie";"2004";"13943";"7019";"6924";"7062";"1.0";"0.9";"1.1";"98.2";"98.4";"98.0"
"45 Autohandel en -reparatie";"2005";"13924";"7069";"6855";"6855";"-1.9";"-0.9";"-2.9";"100.0";"100.0";"100.0"
"45 Autohandel en -reparatie";"2006";"14470";"7340";"7130";"7148";"3.2";"2.2";"4.3";"100.7";"101.6";"99.7"
"45 Autohandel en -reparatie";"2007";"15116";"7707";"7409";"7351";"2.6";"2.4";"2.8";"102.5";"104.2";"100.8"
"45 Autohandel en -reparatie";"2008";"15718";"8158";"7560";"7418";"1.6";"2.2";"0.9";"104.9";"107.9";"101.9"
"45 Autohandel en -reparatie";"2009";"14559";"7657";"6902";"6718";"-8.1";"-7.0";"-9.4";"105.8";"108.9";"102.7"
"45 Autohandel en -reparatie";"2010**";"15481";"7981";"7500";"7106";"4.3";"3.1";"5.8";"107.8";"110.1";"105.5"
"45 Autohandel en -reparatie";"2011*";"16215";"8335";"7880";"7426";"3.0";"1.7";"4.5";"109.6";"113.1";"106.1"
"46 Groothandel en handelsbemiddeling";"1988";"22476";"8667";"13809";"14583";".";".";".";"83.3";"69.2";"94.7"
"46 Groothandel en handelsbemiddeling";"1989";"24855";"9516";"15339";"15648";"7.5";"7.8";"7.3";"85.7";"70.5";"98.0"
"46 Groothandel en handelsbemiddeling";"1990";"26778";"10259";"16519";"16730";"6.8";"6.6";"6.9";"86.4";"71.2";"98.7"
"46 Groothandel en handelsbemiddeling";"1991";"28707";"11171";"17536";"17285";"4.4";"6.2";"3.3";"88.7";"73.0";"101.5"
"46 Groothandel en handelsbemiddeling";"1992";"29358";"11761";"17597";"17277";"1.3";"3.4";"0.0";"89.6";"74.4";"101.9"
"46 Groothandel en handelsbemiddeling";"1993";"29619";"12001";"17618";"17803";"1.9";"0.3";"3.0";"88.7";"75.6";"99.0"
"46 Groothandel en handelsbemiddeling";"1994";"31214";"12666";"18548";"19018";"5.5";"3.5";"6.8";"88.6";"77.1";"97.5"
"46 Groothandel en handelsbemiddeling";"1995";"33165";"13646";"19519";"20499";"6.8";"5.5";"7.8";"88.1";"78.8";"95.2"
"46 Groothandel en handelsbemiddeling";"1996";"35756";"15290";"20466";"21376";"6.4";"9.5";"4.3";"89.2";"80.6";"95.7"
"46 Groothandel en handelsbemiddeling";"1997";"39592";"16469";"23123";"23905";"9.4";"6.1";"11.8";"90.3";"81.8";"96.7"
"46 Groothandel en handelsbemiddeling";"1998";"42242";"18075";"24167";"25498";"7.6";"8.8";"6.7";"89.6";"82.5";"94.8"
"46 Groothandel en handelsbemiddeling";"1999";"46605";"19630";"26975";"27843";"8.0";"6.4";"9.2";"91.5";"84.2";"96.9"
"46 Groothandel en handelsbemiddeling";"2000";"51552";"21724";"29828";"29989";"7.4";"7.1";"7.7";"94.2";"87.0";"99.5"
"46 Groothandel en handelsbemiddeling";"2001";"54022";"23166";"30856";"30121";"1.4";"2.8";"0.4";"97.3";"90.3";"102.4"
"46 Groothandel en handelsbemiddeling";"2002";"57163";"24369";"32794";"29709";"0.1";"2.2";"-1.4";"102.8";"93.0";"110.4"
"46 Groothandel en handelsbemiddeling";"2003";"55706";"23445";"32261";"31333";"0.7";"-5.6";"5.5";"99.5";"94.8";"103.0"
"46 Groothandel en handelsbemiddeling";"2004";"58467";"24616";"33851";"33180";"4.5";"2.5";"5.9";"100.0";"97.1";"102.0"
"46 Groothandel en handelsbemiddeling";"2005";"61417";"25705";"35712";"35712";"5.0";"1.4";"7.6";"100.0";"100.0";"100.0"
"46 Groothandel en handelsbemiddeling";"2006";"65697";"27888";"37809";"38959";"8.0";"6.4";"9.1";"99.1";"102.0";"97.0"
"46 Groothandel en handelsbemiddeling";"2007";"72015";"30279";"41736";"41836";"6.9";"6.2";"7.4";"101.6";"104.2";"99.8"
"46 Groothandel en handelsbemiddeling";"2008";"74739";"32085";"42654";"42255";"1.8";"3.0";"1.0";"103.6";"107.3";"100.9"
"46 Groothandel en handelsbemiddeling";"2009";"68140";"30262";"37878";"38855";"-7.0";"-5.6";"-8.0";"101.5";"107.2";"97.5"
"46 Groothandel en handelsbemiddeling";"2010**";"73821";"31804";"42017";"41420";"5.0";"3.0";"6.6";"104.7";"109.3";"101.4"
"46 Groothandel en handelsbemiddeling";"2011*";"78084";"32945";"45139";"43081";"2.6";"0.8";"4.0";"108.0";"112.4";"104.8"
"47 Detailhandel (niet in auto's)";"1988";"12699";"4608";"8091";"11848";".";".";".";"67.6";"67.0";"68.3"
"47 Detailhandel (niet in auto's)";"1989";"13440";"4983";"8457";"12135";"3.6";"5.7";"2.4";"69.1";"68.5";"69.7"
"47 Detailhandel (niet in auto's)";"1990";"14708";"5460";"9248";"12910";"6.6";"7.0";"6.4";"70.9";"70.2";"71.6"
"47 Detailhandel (niet in auto's)";"1991";"15839";"5908";"9931";"13286";"3.7";"5.0";"2.9";"73.7";"72.3";"74.7"
"47 Detailhandel (niet in auto's)";"1992";"16723";"6160";"10563";"13136";"0.2";"2.4";"-1.1";"77.6";"73.6";"80.4"
"47 Detailhandel (niet in auto's)";"1993";"17604";"6445";"11159";"12754";"-0.8";"2.7";"-2.9";"82.4";"75.0";"87.5"
"47 Detailhandel (niet in auto's)";"1994";"18221";"6697";"11524";"12981";"1.7";"1.7";"1.8";"83.8";"76.6";"88.8"
"47 Detailhandel (niet in auto's)";"1995";"18858";"6991";"11867";"13341";"2.4";"1.7";"2.8";"84.7";"78.6";"89.0"
"47 Detailhandel (niet in auto's)";"1996";"19475";"7481";"11994";"13584";"2.7";"4.1";"1.8";"85.2";"80.8";"88.3"
"47 Detailhandel (niet in auto's)";"1997";"20694";"7899";"12795";"14100";"3.9";"4.0";"3.8";"87.2";"82.1";"90.7"
"47 Detailhandel (niet in auto's)";"1998";"22559";"8379";"14180";"14785";"4.8";"4.8";"4.9";"90.7";"83.1";"95.9"
"47 Detailhandel (niet in auto's)";"1999";"24135";"9028";"15107";"15525";"5.1";"5.4";"5.0";"92.3";"85.0";"97.3"
"47 Detailhandel (niet in auto's)";"2000";"25724";"9773";"15951";"15838";"3.4";"5.6";"2.0";"95.1";"87.1";"100.7"
"47 Detailhandel (niet in auto's)";"2001";"27193";"10501";"16692";"15620";"0.3";"3.0";"-1.4";"100.3";"90.9";"106.9"
"47 Detailhandel (niet in auto's)";"2002";"28359";"11031";"17328";"15605";"0.6";"1.7";"-0.1";"104.0";"93.9";"111.0"
"47 Detailhandel (niet in auto's)";"2003";"28057";"10893";"17164";"15887";"-0.3";"-3.6";"1.8";"103.2";"96.1";"108.0"
"47 Detailhandel (niet in auto's)";"2004";"27632";"11045";"16587";"16228";"1.1";"-0.6";"2.1";"100.5";"98.0";"102.2"
"47 Detailhandel (niet in auto's)";"2005";"27885";"11417";"16468";"16468";"1.4";"1.3";"1.5";"100.0";"100.0";"100.0"
"47 Detailhandel (niet in auto's)";"2006";"29238";"12141";"17097";"17404";"5.1";"4.3";"5.7";"99.7";"102.0";"98.2"
"47 Detailhandel (niet in auto's)";"2007";"30317";"12717";"17600";"18286";"3.9";"2.2";"5.1";"99.6";"104.5";"96.3"
"47 Detailhandel (niet in auto's)";"2008";"30531";"13256";"17275";"18404";"0.9";"1.4";"0.6";"99.3";"107.4";"93.9"
"47 Detailhandel (niet in auto's)";"2009";"30397";"12969";"17428";"17915";"-3.0";"-3.4";"-2.7";"101.9";"108.8";"97.3"
"47 Detailhandel (niet in auto's)";"2010**";"29501";"12904";"16597";"18012";"0.1";"-0.5";"0.5";"98.8";"108.8";"92.1"
"47 Detailhandel (niet in auto's)";"2011*";"28481";"12811";"15670";"17943";"-1.0";"-1.7";"-0.4";"96.4";"110.0";"87.3"
"49 Vervoer over land";"1988";"8516";"2847";"5669";"7240";".";".";".";"70.3";"59.4";"78.3"
"49 Vervoer over land";"1989";"8989";"3113";"5876";"7555";"4.2";"4.0";"4.4";"71.1";"62.5";"77.8"
"49 Vervoer over land";"1990";"9521";"3338";"6183";"7848";"3.5";"2.9";"3.9";"72.8";"65.1";"78.8"
"49 Vervoer over land";"1991";"10249";"3699";"6550";"8154";"5.1";"7.2";"3.9";"74.6";"67.3";"80.3"
"49 Vervoer over land";"1992";"10814";"3842";"6972";"8294";"2.5";"3.8";"1.7";"76.8";"67.3";"84.1"
"49 Vervoer over land";"1993";"11063";"4100";"6963";"8528";"3.2";"3.9";"2.8";"76.1";"69.2";"81.6"
"49 Vervoer over land";"1994";"11597";"4315";"7282";"8769";"3.4";"4.3";"2.8";"77.2";"69.8";"83.0"
"49 Vervoer over land";"1995";"11320";"4457";"6863";"8457";"-1.4";"2.2";"-3.6";"76.4";"70.5";"81.1"
"49 Vervoer over land";"1996";"11893";"4876";"7017";"8629";"3.4";"5.4";"2.0";"77.7";"73.2";"81.3"
"49 Vervoer over land";"1997";"12738";"5235";"7503";"8930";"4.1";"5.0";"3.5";"79.9";"74.8";"84.0"
"49 Vervoer over land";"1998";"13838";"5533";"8305";"9588";"6.9";"6.3";"7.4";"81.2";"74.4";"86.6"
"49 Vervoer over land";"1999";"14654";"5879";"8775";"9887";"3.0";"2.7";"3.1";"83.5";"77.0";"88.8"
"49 Vervoer over land";"2000";"15800";"6496";"9304";"10273";"3.2";"2.2";"3.9";"87.2";"83.2";"90.6"
"49 Vervoer over land";"2001";"16474";"6740";"9734";"10168";"0.2";"1.8";"-1.0";"90.8";"84.7";"95.7"
"49 Vervoer over land";"2002";"16721";"6848";"9873";"9971";"-1.2";"0.0";"-1.9";"93.2";"86.1";"99.0"
"49 Vervoer over land";"2003";"16920";"6988";"9932";"9699";"-1.7";"-0.2";"-2.7";"96.0";"88.1";"102.4"
"49 Vervoer over land";"2004";"17377";"7512";"9865";"9810";"1.3";"1.5";"1.1";"97.3";"93.3";"100.6"
"49 Vervoer over land";"2005";"18065";"8083";"9982";"9982";"1.2";"0.4";"1.8";"100.0";"100.0";"100.0"
"49 Vervoer over land";"2006";"19252";"8764";"10488";"10410";"4.6";"4.9";"4.3";"101.9";"103.4";"100.7"
"49 Vervoer over land";"2007";"20397";"9212";"11185";"10885";"4.0";"3.2";"4.6";"103.9";"105.3";"102.8"
"49 Vervoer over land";"2008";"21219";"9926";"11293";"10855";"-0.1";"0.1";"-0.3";"108.2";"113.3";"104.0"
