"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"03 Visserij";"2007";"524";"317";"207";"216";"17.7";"12.0";"26.3";"103.3";"108.9";"95.8"
"03 Visserij";"2008";"510";"353";"157";"205";"-3.1";"-1.6";"-5.3";"103.7";"123.2";"76.8"
"03 Visserij";"2009";"419";"281";"138";"175";"-9.6";"-7.4";"-14.6";"94.2";"105.9";"79.1"
"03 Visserij";"2010**";"452";"330";"122";"175";"2.4";"3.6";"0.0";"99.3";"120.1";"69.9"
"03 Visserij";"2011*";"451";"340";"111";"150";"-11.1";"-10.0";"-13.9";"111.4";"137.4";"73.9"
"B Delfstoffenwinning";"1988";"7262";"1415";"5847";"12228";".";".";".";"52.0";"63.3";"47.8"
"B Delfstoffenwinning";"1989";"7669";"1525";"6144";"12588";"3.5";"5.9";"2.9";"53.1";"64.4";"48.8"
"B Delfstoffenwinning";"1990";"9064";"1673";"7391";"13239";"5.4";"6.3";"5.2";"59.5";"66.5";"55.8"
"B Delfstoffenwinning";"1991";"10944";"2015";"8929";"14608";"11.5";"16.7";"10.3";"64.4";"68.6";"61.1"
"B Delfstoffenwinning";"1992";"9571";"1957";"7614";"14153";"-3.1";"-3.1";"-3.1";"58.2";"68.8";"53.8"
"B Delfstoffenwinning";"1993";"9329";"2065";"7264";"14521";"3.4";"6.7";"2.6";"54.8";"68.0";"50.0"
"B Delfstoffenwinning";"1994";"9326";"2193";"7133";"14657";"1.6";"3.8";"0.9";"53.9";"69.6";"48.7"
"B Delfstoffenwinning";"1995";"9670";"2303";"7367";"14454";"-0.3";"3.1";"-1.4";"56.1";"70.9";"51.0"
"B Delfstoffenwinning";"1996";"10775";"2568";"8207";"15470";"6.8";"5.9";"7.0";"58.6";"74.7";"53.1"
"B Delfstoffenwinning";"1997";"11140";"2725";"8415";"14441";"-5.0";"0.4";"-6.7";"63.7";"78.9";"58.3"
"B Delfstoffenwinning";"1998";"9908";"2829";"7079";"13614";"-3.5";"3.3";"-5.7";"58.8";"79.3";"52.0"
"B Delfstoffenwinning";"1999";"9013";"2743";"6270";"13819";"1.3";"0.6";"1.5";"52.8";"76.5";"45.4"
"B Delfstoffenwinning";"2000";"12120";"3070";"9050";"13176";"-3.3";"-0.1";"-4.7";"73.4";"85.6";"68.7"
"B Delfstoffenwinning";"2001";"14573";"3495";"11078";"14115";"7.0";"6.6";"7.1";"82.5";"91.4";"78.5"
"B Delfstoffenwinning";"2002";"13425";"3461";"9964";"14180";"0.6";"1.2";"0.5";"75.5";"89.5";"70.3"
"B Delfstoffenwinning";"2003";"13787";"3392";"10395";"13740";"-3.6";"-5.2";"-3.1";"80.5";"92.5";"75.7"
"B Delfstoffenwinning";"2004";"14765";"3498";"11267";"15222";"8.7";"2.5";"10.8";"79.2";"93.1";"74.0"
"B Delfstoffenwinning";"2005";"17241";"4709";"12532";"12532";"-7.5";"25.3";"-17.7";"100.0";"100.0";"100.0"
"B Delfstoffenwinning";"2006";"21089";"5183";"15906";"12201";"-1.8";"0.6";"-2.6";"124.5";"109.4";"130.4"
"B Delfstoffenwinning";"2007";"20716";"5079";"15637";"12183";"-0.3";"-0.7";"-0.2";"122.7";"108.0";"128.4"
"B Delfstoffenwinning";"2008";"27128";"5587";"21541";"13174";"6.1";"0.0";"8.1";"151.3";"118.8";"163.5"
"B Delfstoffenwinning";"2009";"20993";"5437";"15556";"12494";"-2.6";"7.1";"-5.2";"120.3";"107.9";"124.5"
"B Delfstoffenwinning";"2010**";"22769";"5730";"17039";"14108";"12.3";"10.6";"12.9";"116.1";"102.8";"120.8"
"B Delfstoffenwinning";"2011*";"25498";"5790";"19708";"13041";"-7.3";"-6.5";"-7.6";"140.3";"111.1";"151.1"
"10-12 Voedings-, genotmiddelenindustrie";"1988";"33449";"26845";"6604";"8235";".";".";".";"92.3";"96.0";"80.2"
"10-12 Voedings-, genotmiddelenindustrie";"1989";"35208";"28659";"6549";"8355";"1.9";"1.9";"1.5";"95.4";"100.5";"78.4"
"10-12 Voedings-, genotmiddelenindustrie";"1990";"35205";"28078";"7127";"8688";"3.8";"3.8";"4.0";"91.9";"94.9";"82.0"
"10-12 Voedings-, genotmiddelenindustrie";"1991";"36658";"29287";"7371";"9071";"3.6";"3.4";"4.4";"92.4";"95.7";"81.3"
"10-12 Voedings-, genotmiddelenindustrie";"1992";"38025";"30008";"8017";"9537";"2.6";"1.9";"5.1";"93.4";"96.2";"84.1"
"10-12 Voedings-, genotmiddelenindustrie";"1993";"37799";"29424";"8375";"9651";"2.6";"3.0";"1.2";"90.5";"91.6";"86.8"
"10-12 Voedings-, genotmiddelenindustrie";"1994";"38784";"30270";"8514";"10370";"2.3";"0.9";"7.5";"90.7";"93.4";"82.1"
"10-12 Voedings-, genotmiddelenindustrie";"1995";"40175";"31236";"8939";"10691";"3.0";"3.0";"3.1";"91.3";"93.7";"83.6"
"10-12 Voedings-, genotmiddelenindustrie";"1996";"41396";"32409";"8987";"10797";"2.0";"2.3";"1.0";"92.2";"95.0";"83.2"
"10-12 Voedings-, genotmiddelenindustrie";"1997";"43096";"34080";"9016";"10665";"0.8";"1.3";"-1.2";"95.2";"98.6";"84.5"
"10-12 Voedings-, genotmiddelenindustrie";"1998";"43537";"34389";"9148";"10664";"2.4";"3.0";"0.0";"94.0";"96.5";"85.8"
"10-12 Voedings-, genotmiddelenindustrie";"1999";"43172";"33398";"9774";"10916";"1.4";"1.2";"2.4";"91.9";"92.7";"89.5"
