"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Perioden";"Sectoren";"Balansposten";"Totaal energieaanbod";"Totaal energieverbruik"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"9.37";"9.37"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"16 Houtindustrie";"PJ";"4.00";"4.00"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"17-18 Papier- en grafische industrie";"PJ";"42.84";"42.84"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"20-21 Chemie en farmaceutische industrie";"PJ";"629.96";"629.96"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Basischemie zonder 2013-2015";"PJ";"43.36";"43.36"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"2013 Overige anorganische basischemie";"PJ";"25.80";"25.80"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"2014 Overige organische basischemie";"PJ";"421.49";"421.49"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"2015 Kunstmestindustrie";"PJ";"113.48";"113.48"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Chemische en farmaceutische producten";"PJ";"25.83";"25.83"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"23 Bouwmaterialenindustrie";"PJ";"37.68";"37.68"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"24 Basismetaalindustrie";"PJ";"131.10";"131.10"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"IJzer- en staalindustrie";"PJ";"105.36";"105.36"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Non-ferrometalenindustrie";"PJ";"25.74";"25.74"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"25-28 Metaalproducten/machine-industrie";"PJ";"36.42";"36.42"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"29-30 Transportmiddelenindustrie";"PJ";"5.89";"5.89"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"31-33 Overige industrie en reparatie";"PJ";"19.51";"19.51"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"F Bouwnijverheid";"PJ";"31.40";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Vervoer";"PJ";"442.95";"442.95"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Railverkeer";"PJ";"8.07";"8.07"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Wegverkeer";"PJ";"422.09";"422.09"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Scheepvaart";"PJ";"7.76";"7.76"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Luchtvaart";"PJ";"5.03";"5.03"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Particuliere huishoudens";"PJ";"449.57";"449.57"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Landbouw, visserij en dienstverlening";"PJ";"497.80";"497.80"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Landbouw";"PJ";"160.23";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"E Waterbedrijven en afvalbeheer";"PJ";"44.44";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"G-U Dienstverlening";"PJ";"293.12";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Nederland totaal";"PJ";"3022.25";"3022.25"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Energiesector";"PJ";"586.18";"586.18"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"06 Winning van aardolie en aardgas";"PJ";"38.41";"38.41"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Cokesfabrieken";"PJ";"16.47";"16.47"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"192 Aardolie-industrie";"PJ";"191.10";"191.10"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"35 Energiebedrijven";"PJ";"340.20";"340.20"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Totaal energieafnemers";"PJ";"2436.08";"2436.08"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Nijverheid (geen energiesector)";"PJ";"1040.34";"1040.34"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"6.75";"6.75"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"100.18";"100.18"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"9.90";"9.90"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"16 Houtindustrie";"PJ";"4.25";"4.25"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"17-18 Papier- en grafische industrie";"PJ";"42.48";"42.48"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"20-21 Chemie en farmaceutische industrie";"PJ";"615.73";"615.73"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Basischemie zonder 2013-2015";"PJ";"44.23";"44.23"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"2013 Overige anorganische basischemie";"PJ";"22.02";"22.02"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"2014 Overige organische basischemie";"PJ";"406.63";"406.63"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"2015 Kunstmestindustrie";"PJ";"116.09";"116.09"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Chemische en farmaceutische producten";"PJ";"26.75";"26.75"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"23 Bouwmaterialenindustrie";"PJ";"35.86";"35.86"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"24 Basismetaalindustrie";"PJ";"127.90";"127.90"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"IJzer- en staalindustrie";"PJ";"99.98";"99.98"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Non-ferrometalenindustrie";"PJ";"27.92";"27.92"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"25-28 Metaalproducten/machine-industrie";"PJ";"43.15";"43.15"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"29-30 Transportmiddelenindustrie";"PJ";"5.69";"5.69"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"31-33 Overige industrie en reparatie";"PJ";"19.30";"19.30"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"F Bouwnijverheid";"PJ";"29.17";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Vervoer";"PJ";"441.85";"441.85"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Railverkeer";"PJ";"7.61";"7.61"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Wegverkeer";"PJ";"419.64";"419.64"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Scheepvaart";"PJ";"8.97";"8.97"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Luchtvaart";"PJ";"5.63";"5.63"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Particuliere huishoudens";"PJ";"434.09";"434.09"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Landbouw, visserij en dienstverlening";"PJ";"519.79";"519.79"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Landbouw";"PJ";"159.91";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"E Waterbedrijven en afvalbeheer";"PJ";"46.43";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1998";"G-U Dienstverlening";"PJ";"313.44";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"Nederland totaal";"PJ";"2994.38";"2994.38"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"Energiesector";"PJ";"536.45";"536.45"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"06 Winning van aardolie en aardgas";"PJ";"34.58";"34.58"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"Cokesfabrieken";"PJ";"13.97";"13.97"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"192 Aardolie-industrie";"PJ";"170.61";"170.61"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"35 Energiebedrijven";"PJ";"317.29";"317.29"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"Totaal energieafnemers";"PJ";"2457.94";"2457.94"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"Nijverheid (geen energiesector)";"PJ";"1085.42";"1085.42"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"7.13";"7.13"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"104.78";"104.78"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"8.20";"8.20"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"16 Houtindustrie";"PJ";"4.28";"4.28"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"17-18 Papier- en grafische industrie";"PJ";"42.77";"42.77"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"20-21 Chemie en farmaceutische industrie";"PJ";"660.31";"660.31"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"Basischemie zonder 2013-2015";"PJ";"47.69";"47.69"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"2013 Overige anorganische basischemie";"PJ";"45.15";"45.15"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"2014 Overige organische basischemie";"PJ";"431.35";"431.35"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1999";"2015 Kunstmestindustrie";"PJ";"112.98";"112.98"
