"X","Onderwerpen","Indexcijfers.omzet","Omzetontwikkeling"
"Bedrijfstak/branches (SBI 2008)","Perioden","2005 = 100","%"
"4941 Goederenwegvervoer (geen verhuis-)","2009 1e kwartaal","104,7","-11,3"
"4941 Goederenwegvervoer (geen verhuis-)","2009 2e kwartaal","112,4","-13,0"
"4941 Goederenwegvervoer (geen verhuis-)","2009 3e kwartaal","108,6","-13,6"
"4941 Goederenwegvervoer (geen verhuis-)","2009 4e kwartaal","114,2","-8,9"
"4941 Goederenwegvervoer (geen verhuis-)","2009","110,0","-11,7"
"4941 Goederenwegvervoer (geen verhuis-)","2010 1e kwartaal","101,0","-3,5"
"4941 Goederenwegvervoer (geen verhuis-)","2010 2e kwartaal","115,2","2,4"
"4941 Goederenwegvervoer (geen verhuis-)","2010 3e kwartaal","113,6","4,6"
"4941 Goederenwegvervoer (geen verhuis-)","2010 4e kwartaal","123,4","8,0"
"4941 Goederenwegvervoer (geen verhuis-)","2010","113,3","3,0"
"4941 Goederenwegvervoer (geen verhuis-)","2011 1e kwartaal","112,7","11,5"
"4941 Goederenwegvervoer (geen verhuis-)","2011 2e kwartaal","122,9","6,7"
"4941 Goederenwegvervoer (geen verhuis-)","2011 3e kwartaal","118,3","4,1"
"4941 Goederenwegvervoer (geen verhuis-)","2011 4e kwartaal","121,9","-1,2"
"4941 Goederenwegvervoer (geen verhuis-)","2011","118,9","5,0"
"4941 Goederenwegvervoer (geen verhuis-)","2012 1e kwartaal**","110,5","-1,9"
"4941 Goederenwegvervoer (geen verhuis-)","2012 2e kwartaal*","124,7","1,4"
"4942 Verhuisvervoer","2005 1e kwartaal"," "," "
"4942 Verhuisvervoer","2005 2e kwartaal"," "," "
"4942 Verhuisvervoer","2005 3e kwartaal"," "," "
"4942 Verhuisvervoer","2005 4e kwartaal"," "," "
"4942 Verhuisvervoer","2005"," "," "
"4942 Verhuisvervoer","2006 1e kwartaal"," "," "
"4942 Verhuisvervoer","2006 2e kwartaal"," "," "
"4942 Verhuisvervoer","2006 3e kwartaal"," "," "
"4942 Verhuisvervoer","2006 4e kwartaal"," "," "
"4942 Verhuisvervoer","2006"," "," "
"4942 Verhuisvervoer","2007 1e kwartaal"," "," "
"4942 Verhuisvervoer","2007 2e kwartaal"," "," "
"4942 Verhuisvervoer","2007 3e kwartaal"," "," "
"4942 Verhuisvervoer","2007 4e kwartaal"," "," "
"4942 Verhuisvervoer","2007"," "," "
"4942 Verhuisvervoer","2008 1e kwartaal","118,0"," "
"4942 Verhuisvervoer","2008 2e kwartaal","129,2"," "
"4942 Verhuisvervoer","2008 3e kwartaal","125,7"," "
"4942 Verhuisvervoer","2008 4e kwartaal","125,4"," "
"4942 Verhuisvervoer","2008","124,6"," "
"4942 Verhuisvervoer","2009 1e kwartaal","98,2","-16,8"
"4942 Verhuisvervoer","2009 2e kwartaal","99,0","-23,4"
"4942 Verhuisvervoer","2009 3e kwartaal","104,9","-16,5"
"4942 Verhuisvervoer","2009 4e kwartaal","100,2","-20,1"
"4942 Verhuisvervoer","2009","100,6","-19,3"
"4942 Verhuisvervoer","2010 1e kwartaal","83,1","-15,4"
"4942 Verhuisvervoer","2010 2e kwartaal","91,7","-7,4"
"4942 Verhuisvervoer","2010 3e kwartaal","101,1","-3,7"
"4942 Verhuisvervoer","2010 4e kwartaal","102,9","2,6"
"4942 Verhuisvervoer","2010","94,7","-5,9"
"4942 Verhuisvervoer","2011 1e kwartaal","87,0","4,7"
"4942 Verhuisvervoer","2011 2e kwartaal","91,2","-0,5"
"4942 Verhuisvervoer","2011 3e kwartaal","101,6","0,5"
"4942 Verhuisvervoer","2011 4e kwartaal","101,8","-1,1"
"4942 Verhuisvervoer","2011","95,4","0,7"
"4942 Verhuisvervoer","2012 1e kwartaal**","88,5","1,7"
"4942 Verhuisvervoer","2012 2e kwartaal*","91,2","0,0"
"50 Vervoer over water","2005 1e kwartaal","92,6"," "
"50 Vervoer over water","2005 2e kwartaal","101,8"," "
"50 Vervoer over water","2005 3e kwartaal","104,2"," "
"50 Vervoer over water","2005 4e kwartaal","101,4"," "
"50 Vervoer over water","2005","100,0"," "
"50 Vervoer over water","2006 1e kwartaal","87,4","-5,6"
"50 Vervoer over water","2006 2e kwartaal","81,5","-19,9"
"50 Vervoer over water","2006 3e kwartaal","83,8","-19,5"
"50 Vervoer over water","2006 4e kwartaal","79,7","-21,5"
"50 Vervoer over water","2006","83,1","-16,9"
"50 Vervoer over water","2007 1e kwartaal","82,6","-5,5"
"50 Vervoer over water","2007 2e kwartaal","90,1","10,6"
"50 Vervoer over water","2007 3e kwartaal","95,3","13,7"
"50 Vervoer over water","2007 4e kwartaal","93,3","17,0"
"50 Vervoer over water","2007","90,3","8,7"
"50 Vervoer over water","2008 1e kwartaal","89,7","8,6"
"50 Vervoer over water","2008 2e kwartaal","94,1","4,4"
"50 Vervoer over water","2008 3e kwartaal","96,1","0,9"
"50 Vervoer over water","2008 4e kwartaal","97,8","4,8"
"50 Vervoer over water","2008","94,4","4,5"
"50 Vervoer over water","2009 1e kwartaal","77,7","-13,4"
"50 Vervoer over water","2009 2e kwartaal","75,8","-19,5"
"50 Vervoer over water","2009 3e kwartaal","75,8","-21,2"
"50 Vervoer over water","2009 4e kwartaal","73,1","-25,2"
"50 Vervoer over water","2009","75,6","-19,9"
"50 Vervoer over water","2010 1e kwartaal","68,0","-12,4"
"50 Vervoer over water","2010 2e kwartaal","72,7","-4,0"
"50 Vervoer over water","2010 3e kwartaal","74,2","-2,1"
"50 Vervoer over water","2010 4e kwartaal","72,2","-1,3"
"50 Vervoer over water","2010","71,8","-5,0"
"50 Vervoer over water","2011 1e kwartaal","66,5","-2,3"
"50 Vervoer over water","2011 2e kwartaal","75,3","3,6"
"50 Vervoer over water","2011 3e kwartaal","77,7","4,7"
"50 Vervoer over water","2011 4e kwartaal","77,6","7,5"
"50 Vervoer over water","2011","74,3","3,5"
"50 Vervoer over water","2012 1e kwartaal**","74,4","12,0"
"50 Vervoer over water","2012 2e kwartaal*","77,9","3,5"
"501-502 Zee- en kustvaart","2005 1e kwartaal","94,5"," "
"501-502 Zee- en kustvaart","2005 2e kwartaal","102,2"," "
"501-502 Zee- en kustvaart","2005 3e kwartaal","103,7"," "
"501-502 Zee- en kustvaart","2005 4e kwartaal","99,7"," "
"501-502 Zee- en kustvaart","2005","100,0"," "
"501-502 Zee- en kustvaart","2006 1e kwartaal","83,6","-11,5"
"501-502 Zee- en kustvaart","2006 2e kwartaal","73,9","-27,7"
"501-502 Zee- en kustvaart","2006 3e kwartaal","75,0","-27,7"
"501-502 Zee- en kustvaart","2006 4e kwartaal","71,2","-28,6"
"501-502 Zee- en kustvaart","2006","75,9","-24,1"
"501-502 Zee- en kustvaart","2007 1e kwartaal","77,1","-7,8"
